Name	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
Systemic lupus erythematosus	7	NA	NA	NA	NA	NA	NA	NA	NA	0.0158819990696156	NA	NA	NA	NA	NA	0.00226539088723757	NA	0.000645426646664939	NA	NA	3.10137982892107e-07	0.0126906670217574	NA	NA	0.00134240491637913	NA	NA	NA	0.00246657818143376	NA	NA	NA	NA	NA
Synaptic vesicle cycle	2	NA	NA	NA	NA	NA	NA	NA	NA	0.0333441815389753	NA	NA	NA	NA	NA	9.39261669816072e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cardiac muscle contraction	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.98740718873506e-05	NA	0.00725650366965611	0.0319354496511554	NA	NA	NA	NA	NA	NA	0.0147537855918833	NA	NA	3.73858312101568e-06	NA	NA	NA	NA	0.00246657818143376	0.0344675255386427	NA	NA	NA	NA
TNF signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00253561743469137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C-type lectin receptor signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00408969555001205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory mediator regulation of TRP channels	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00619283212277539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antifolate resistance	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0241136945376401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oxidative phosphorylation	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0198399958837572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arachidonic acid metabolism	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0374227262745576	NA	NA	0.00511577687499528	0.0105400744087869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0183999195144879	NA	NA	NA
Th1 and Th2 cell differentiation	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015205190918346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Retrograde endocannabinoid signaling	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0327703075657953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000212626541605607	NA
Hedgehog signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0210367910030126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tuberculosis	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.45363538900491e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leishmaniasis	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.58172286143672e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.0101997377003561	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory bowel disease (IBD)	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000124788656109833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asthma	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000273185937439008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Type I diabetes mellitus	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000784823054055485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GABAergic synapse	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00275133426575746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0087786728818372	NA	0.00672416200739371	NA	NA	0.00531733937119407	NA
Toll-like receptor signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00447949248103474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Viral myocarditis	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00491919369967852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0390801322333761	NA	NA	NA	NA
Fc gamma R-mediated phagocytosis	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00839150544998534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pertussis	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00839150544998534	NA	NA	NA	NA	NA	NA	NA	NA	0.016950558282718	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amphetamine addiction	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00902489811343458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0251693116986894	NA	NA	NA	NA	NA
NF-kappa B signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0270150482061771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Histidine metabolism	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000883334342094552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glycolysis / Gluconeogenesis	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0016340366232204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phenylalanine metabolism	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0020589254886812	NA	NA	NA	NA	0.010306985808869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tryptophan metabolism	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00680454912394348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Type II diabetes mellitus	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0126290966994939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Valine, leucine and isoleucine degradation	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0364771611793738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pentose and glucuronate interconversions	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0399536008030441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aldosterone-regulated sodium reabsorption	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0257712125247813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0124025780462584	NA	NA	NA	NA
Oocyte meiosis	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0258204918816192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Linoleic acid metabolism	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0410668351970062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Proximal tubule bicarbonate reclamation	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0148006447740465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0300659873193204
Human papillomavirus infection	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0389039133823766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ovarian steroidogenesis	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000172965093800022	NA	5.87525970710754e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Transcriptional misregulation in cancer	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00837737425290779	NA	NA	NA	NA	NA	NA	NA	NA
JAK-STAT signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0197329764822787	NA	NA	NA	NA	NA	NA	NA	NA
Maturity onset diabetes of the young	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0357100031464194	NA	NA	0.00177077703141802	NA	NA	NA	NA	NA
Apelin signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00444123559599388	NA	NA	NA	NA	NA	NA
Regulation of lipolysis in adipocytes	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0127296567136029	NA	NA	NA	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023481156135192	NA	NA	NA	NA
Breast cancer	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0227794678485185	NA	NA	NA
Estrogen signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.022566224309863	NA	NA
Dopaminergic synapse	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0440788892838913	NA
Endocrine and other factor-regulated calcium reabsorption	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0300659873193204
