Cancer	Signature	Type	HR	Low CI95	Up CI95	p-value	N/A_number	Number_Event	Likelihood_ratio_test	Wald_test	Score_test	zph
CHOL	vascular_invasion	Micro (vs None)	1.425978288	0.472836702	4.300457364	0.528650002	7/4--38/18	0(0%)	0.543026506	0.528650002	0.526517727	0.592307239
COAD	AR	(continuous)	1.076124421	0.946235314	1.223843321	0.263611962	448/101	11(2.4%)	0.269786338	0.263611962	0.263384917	0.798428816
COAD	AR	H (vs L)	1.167238313	0.788684939	1.727489914	0.439444554	224/47--224/54	11(2.4%)	0.438840197	0.439444554	0.438995146	0.117167553
COAD	ESR1	(continuous)	1.139781544	0.983960108	1.320279102	0.081093102	448/101	11(2.4%)	0.080600595	0.081093102	0.081009172	0.136397424
COAD	ESR1	H (vs L)	1.143228898	0.771279593	1.694550622	0.505017231	226/51--222/50	11(2.4%)	0.50517781	0.505017231	0.504710001	0.197784636
COAD	ESR2	(continuous)	1.050834874	0.847480913	1.302983838	0.651361982	448/101	11(2.4%)	0.650385062	0.651361982	0.651442958	0.580678197
COAD	ESR2	H (vs L)	1.388484396	0.937230161	2.057006913	0.101694222	224/45--224/56	11(2.4%)	0.100423568	0.101694222	0.100180742	0.251077011
COAD	PGR	(continuous)	1.051246525	0.923670821	1.196442748	0.448982066	448/101	11(2.4%)	0.450173786	0.448982066	0.449036264	0.044042061
COAD	PGR	H (vs L)	1.014373541	0.685917206	1.500113529	0.943009376	225/52--223/49	11(2.4%)	0.943013518	0.943009376	0.943008901	0.159960524
COAD	BMI	(continuous)	0.949362832	0.900469757	1.000910669	0.054076603	233/47	226(49.24%)	0.036637781	0.054076603	0.240405951	0.406750682
COAD	cea_level_pretreatment	(continuous)	1.001062559	1.000494558	1.001630882	0.000245018	287/52	172(37.47%)	0.008366133	0.000245018	2.85E-06	0.830323175
COAD	age_at_initial_pathologic_diagnosis	(continuous)	1.021032655	1.004566143	1.037769079	0.012102174	458/102	1(0.22%)	0.010146226	0.012102174	0.011701921	0.653608575
COAD	gender	FEMALE (vs MALE)	0.889995181	0.601566896	1.316713779	0.559782885	216/46--243/56	1(0.22%)	0.559138079	0.559782885	0.559566025	0.045378665
COAD	BMI_category	Over (vs Normal)	0.792855262	0.431099344	1.458177738	0.455274054	78/23--81/19	NA	NA	NA	NA	0.493020831
COAD	BMI_category	Obesity (vs Normal)	0.272978672	0.103612072	0.719195683	0.008617727	74/5--81/19	NA	NA	NA	NA	0.643890403
COAD	BMI_category	Global	NA	NA	NA	NA	NA	226(49.24%)	0.010937826	0.031739482	0.020946308	0.760539621
COAD	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_I)	1.936443931	0.746996128	5.019858817	0.173902165	129/32--178/29	NA	NA	NA	NA	0.20628991
COAD	ajcc_pathologic_tumor_stage	Stage_III (vs Stage_I)	3.41890033	1.330464809	8.785560795	0.010682436	76/5--178/29	NA	NA	NA	NA	0.978723169
COAD	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_I)	9.100037919	3.533883284	23.43334045	4.74E-06	65/31--178/29	NA	NA	NA	NA	0.799104579
COAD	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	12(2.61%)	2.73E-09	9.17E-10	8.76E-12	0.083083362
COAD	pathologic_stage_v2	StageIII/IV (vs StageI/II)	2.896918438	1.906232917	4.402471684	6.32E-07	194/63--254/34	12(2.61%)	2.81E-07	6.32E-07	1.85E-07	0.008813582
COAD	histological_type	Colon_Mucinous_Adenocarcinoma (vs Colon_Adenocarcinoma)	1.42663377	0.845761383	2.406451696	0.182864775	62/17--392/82	6(1.31%)	0.200327293	0.182864775	0.180575606	0.667702736
COAD	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	8.332156216	5.121339515	13.55598999	0	145/64--285/22	30(6.54%)	0	0	0	0.080274845
COAD	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	8.892179752	4.61381138	17.13786157	6.68E-11	41/20--197/17	221(48.15%)	6.07E-10	6.68E-11	4.77E-15	0.237715957
COAD	residual_tumor	R1 (vs R0)	1.458855721	0.34588374	6.153108029	0.607066293	26/12--331/50	NA	NA	NA	NA	0.562875446
COAD	residual_tumor	R2 (vs R0)	5.829493716	3.072672763	11.05975143	6.83E-08	25/5--331/50	NA	NA	NA	NA	0.850105452
COAD	residual_tumor	RX (vs R0)	1.229806195	0.487954624	3.099516233	0.660955901	4/2--331/50	NA	NA	NA	NA	0.645281297
COAD	residual_tumor	Global	NA	NA	NA	NA	NA	74(16.12%)	0.000136096	2.03E-06	4.14E-08	0.89989878
COAD	new_tumor_event_dx_days_to	Yes (vs No)	2.041333471	1.368811067	3.044278674	0.000466027	88/40--371/62	1(0.22%)	0.000716659	0.000466027	0.000353869	0.000990052
COAD	number_of_lymphnodes_positive_by_he	Yes (vs No)	2.371255226	1.59777762	3.519170175	1.82E-05	182/60--277/42	1(0.22%)	1.49E-05	1.82E-05	9.88E-06	0.014918353
COAD	perineural_invasion_present	YES (vs NO)	1.489187061	0.830629016	2.669877958	0.181237512	46/13--413/89	1(0.22%)	0.202981042	0.181237512	0.178380347	0.292489306
COAD	vascular_invasion_indicator	YES (vs NO)	2.395792764	1.588381832	3.613629199	3.09E-05	96/35--363/67	1(0.22%)	8.09E-05	3.09E-05	1.72E-05	0.3014618
COAD	lymphovascular_invasion_indicator	YES (vs NO)	2.089160002	1.40770009	3.10051093	0.000254616	164/48--295/54	1(0.22%)	0.000318037	0.000254616	0.000186986	0.59333837
COAD	mismatch_rep_proteins_tested_by_ihc	YES (vs NO)	0.161704698	0.039202157	0.667014562	0.011733577	56/2--287/53	117(25.49%)	0.000700259	0.011733577	0.00407191	0.651910664
DLBC	AR	(continuous)	0.852048489	0.429243294	1.691317344	0.64716236	Sep-48	0(0%)	0.637379799	0.64716236	0.646640721	0.633042834
DLBC	AR	H (vs L)	1.365565394	0.332942944	5.600866081	0.665247748	24/5--24/4	0(0%)	0.665586746	0.665247748	0.664072568	0.708156206
DLBC	ESR1	(continuous)	1.420550544	0.667449095	3.023397388	0.362349166	Sep-48	0(0%)	0.363194425	0.362349166	0.359774687	0.934393867
DLBC	ESR1	H (vs L)	0.762764722	0.178450119	3.260350986	0.71482595	24/6--24/3	0(0%)	0.71242034	0.71482595	0.714043507	0.941647934
DLBC	ESR2	(continuous)	0.584369399	0.335552266	1.017688239	0.057693803	Sep-48	0(0%)	0.047669225	0.057693803	0.049663264	0.627008964
DLBC	ESR2	H (vs L)	0.130593145	0.016013036	1.06504286	0.057287065	24/7--24/2	0(0%)	0.018203868	0.057287065	0.024981321	0.908374619
DLBC	PGR	(continuous)	1.150173565	0.593093456	2.230507211	0.678846159	Sep-48	0(0%)	0.67502244	0.678846159	0.67838584	0.913696085
DLBC	PGR	H (vs L)	0.942839221	0.234536167	3.790229061	0.933916817	24/4--24/5	0(0%)	0.933922401	0.933916817	0.933907514	0.99511591
DLBC	BMI	(continuous)	0.963663613	0.845099465	1.098861848	0.580566497	Sep-48	0(0%)	0.565354818	0.580566497	0.579823563	0.890633727
DLBC	age_at_initial_pathologic_diagnosis	(continuous)	0.989346495	0.941192401	1.039964289	0.673962075	Sep-48	0(0%)	0.675924347	0.673962075	0.673542049	0.606949028
DLBC	gender	MALE (vs FEMALE)	1.039136627	0.249712116	4.324199182	0.957914043	22/5--26/4	0(0%)	0.957923039	0.957914043	0.957911768	0.854802278
DLBC	clinical_stage_v2	StageIII/IV (vs StageI/II)	1.916660058	0.421513072	8.7152357	0.39981677	17/4--25/3	6(12.5%)	0.396858819	0.39981677	0.392103652	0.348815679
DLBC	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	6.251518384	1.387633528	28.16412353	0.01700803	9/4--37/5	2(4.17%)	0.019455879	0.01700803	0.006402223	0.524975146
DLBC	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	6.393793755	1.404258006	29.11188572	0.016442092	11/4--35/5	2(4.17%)	0.018795971	0.016442092	0.006202099	0.70791875
DLBC	new_tumor_event_dx_days_to	Yes (vs No)	2.830576974	0.697301609	11.49024454	0.1455066	12/5--36/4	0(0%)	0.153885451	0.1455066	0.128975869	0.966755562
ESCA	AR	(continuous)	0.908446965	0.784726218	1.051673654	0.198631818	184/77	1(0.54%)	0.195153009	0.198631818	0.198252204	0.216522258
ESCA	AR	H (vs L)	0.889611387	0.568516631	1.39205852	0.608638588	92/40--92/37	1(0.54%)	0.608470908	0.608638588	0.608436168	0.058666897
ESCA	ESR1	(continuous)	1.034170432	0.91679154	1.16657761	0.584639375	184/77	1(0.54%)	0.584905185	0.584639375	0.584572227	0.274619177
ESCA	ESR1	H (vs L)	0.849581989	0.541213402	1.333650561	0.478619828	93/43--91/34	1(0.54%)	0.477467159	0.478619828	0.478139984	0.487194747
ESCA	ESR2	(continuous)	0.92769444	0.7462778	1.153212616	0.49903983	184/77	1(0.54%)	0.499534712	0.49903983	0.49896539	0.253751877
ESCA	ESR2	H (vs L)	0.816055592	0.521540346	1.276884396	0.373516186	92/40--92/37	1(0.54%)	0.373293656	0.373516186	0.372700488	0.087400311
ESCA	PGR	(continuous)	0.967283572	0.859001175	1.089215633	0.582905119	184/77	1(0.54%)	0.582182067	0.582905119	0.582818913	0.497495734
ESCA	PGR	H (vs L)	0.791651279	0.503157006	1.245559019	0.312322088	93/44--91/33	1(0.54%)	0.310199726	0.312322088	0.311248306	0.378339922
ESCA	BMI	(continuous)	1.014320632	0.980766249	1.049022992	0.407421869	175/70	10(5.41%)	0.422506981	0.407421869	0.407818625	0.680542042
ESCA	tobacco_smoking_history	(continuous)	1.142258794	0.914695846	1.426436075	0.240645529	166/61	19(10.27%)	0.241388446	0.240645529	0.239366189	0.322830636
ESCA	age_at_initial_pathologic_diagnosis	(continuous)	1.001477372	0.983148317	1.020148139	0.875525496	185/77	0(0%)	0.875584442	0.875525496	0.875522721	0.047910643
ESCA	tobacco_smoking_history_v2	No (vs Yes)	1.756862426	1.010313368	3.05505765	0.045899958	19/16--166/61	0(0%)	0.059082854	0.045899958	0.043117613	0.033222778
ESCA	gender	FEMALE (vs MALE)	0.440333785	0.190895018	1.015709282	0.054428298	27/6--158/71	0(0%)	0.030932657	0.054428298	0.048024319	0.376073613
ESCA	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_I)	2.091737603	0.714922017	6.120060788	0.177879538	56/27--79/25	NA	NA	NA	NA	0.464429382
ESCA	ajcc_pathologic_tumor_stage	Stage_III (vs Stage_I)	5.247451364	1.745838224	15.77222072	0.003153358	18/4--79/25	NA	NA	NA	NA	0.509226803
ESCA	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_I)	11.09260563	3.158336247	38.95908794	0.000173858	9/8--79/25	NA	NA	NA	NA	0.361624683
ESCA	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	23(12.43%)	2.39E-05	2.26E-05	3.09E-06	0.834607863
ESCA	pathologic_stage_v2	StageIII/IV (vs StageI/II)	3.177406957	1.884421663	5.357566815	1.44E-05	65/35--97/29	23(12.43%)	1.29E-05	1.44E-05	5.20E-06	0.838838918
ESCA	histological_grade	G2 (vs G1)	2.175937349	0.758625722	6.241158464	0.148141693	49/26--77/30	NA	NA	NA	NA	0.049354717
ESCA	histological_grade	G3 (vs G1)	2.946374196	1.024434891	8.474058215	0.04498955	40/17--77/30	NA	NA	NA	NA	0.290104332
ESCA	histological_grade	GX (vs G1)	2.88229112	0.958366598	8.668501298	0.059528444	19/4--77/30	NA	NA	NA	NA	0.351293461
ESCA	histological_grade	Global	NA	NA	NA	NA	NA	0(0%)	0.113291789	0.176541953	0.154942735	0.085945774
ESCA	histological_grade_v2	G_3/4/High (vs G_1/2/Low)	1.546793496	0.926969879	2.581065655	0.094983314	49/26--96/34	NA	NA	NA	NA	0.23152029
ESCA	histological_grade_v2	GX (vs G_1/2/Low)	1.500447092	0.836288832	2.692062107	0.173667148	40/17--96/34	NA	NA	NA	NA	0.189383955
ESCA	histological_grade_v2	Global	NA	NA	NA	NA	NA	0(0%)	0.179048616	0.181678014	0.177101	0.317191515
ESCA	histological_type	Esophagus_Adenocarcinoma_NOS (vs Esophagus_Squamous_Cell_Carcinoma)	1.139781845	0.715455702	1.815769517	0.581854449	89/45--96/32	0(0%)	0.580858407	0.581854449	0.581614643	0.342243594
ESCA	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	2.911439923	1.773510689	4.779493282	2.38E-05	78/51--100/24	7(3.78%)	9.64E-06	2.38E-05	9.76E-06	0.015194545
ESCA	new_tumor_event_type	Distant_Metastasis (vs NO)	1.77567786	1.05954658	2.975831287	0.029292976	36/23--114/42	NA	NA	NA	NA	0.131928713
ESCA	new_tumor_event_type	Locoregional_Recurrence (vs NO)	0.858508412	0.450310637	1.636729476	0.643081218	33/12--114/42	NA	NA	NA	NA	0.000495732
ESCA	new_tumor_event_type	New_Primary_Tumor (vs NO)	1.16E-07	0	Inf	0.995350114	2/0--114/42	NA	NA	NA	NA	0.999895718
ESCA	new_tumor_event_type	Global	NA	NA	NA	NA	NA	0(0%)	0.042684595	0.109261061	0.053941812	0.006108976
ESCA	new_tumor_event_dx_days_to	Yes (vs NO)	1.244095332	0.789843444	1.959594911	0.346085619	71/35--114/42	0(0%)	0.347808893	0.346085619	0.34515795	0.006463271
ESCA	number_of_lymphnodes_positive_by_he	Yes (vs NO)	1.936694595	1.214112466	3.089323318	0.005532459	90/47--95/30	0(0%)	0.004746603	0.005532459	0.004758602	0.175088699
ESCA	alcohol_history_documented	NO (vs YES)	1.291666472	0.807772407	2.065436083	0.285240016	53/27--129/50	3(1.62%)	0.291867658	0.285240016	0.283946756	0.105095692
ESCA	esoph_non_ca_degree_of_dysplasia	Low_grade_dysplasia (vs Negative/no_dysplasia)	3.457426266	1.248634476	9.573495375	0.016973521	30/18--42/18	NA	NA	NA	NA	0.526010276
ESCA	esoph_non_ca_degree_of_dysplasia	High_grade_dysplasia (vs Negative/no_dysplasia)	1.10795024	0.573107587	2.141925466	0.760521927	6/5--42/18	NA	NA	NA	NA	0.605424322
ESCA	esoph_non_ca_degree_of_dysplasia	Global	NA	NA	NA	NA	NA	107(57.84%)	0.101975479	0.052836761	0.036842486	0.771120641
GBM	AR	(continuous)	0.914552256	0.823692301	1.015434802	0.09431479	160/128	436(73.15%)	0.103406991	0.09431479	0.094099151	0.456113618
GBM	AR	H (vs L)	0.776435768	0.547821621	1.100454014	0.155018538	80/68--80/60	436(73.15%)	0.154607003	0.155018538	0.153926592	0.162522582
GBM	ESR1	(continuous)	1.096830761	0.915234647	1.314458236	0.316910234	160/128	436(73.15%)	0.318030152	0.316910234	0.316899279	0.350353228
GBM	ESR1	H (vs L)	1.338954779	0.936721256	1.913909703	0.109301842	80/64--80/64	436(73.15%)	0.109147346	0.109301842	0.108112038	0.520604898
GBM	ESR2	(continuous)	1.106150674	0.973935871	1.256314045	0.120343257	160/128	436(73.15%)	0.126461489	0.120343257	0.120044161	0.050264257
GBM	ESR2	H (vs L)	1.065544676	0.750387665	1.513065191	0.72269809	81/68--79/60	436(73.15%)	0.722877277	0.72269809	0.722655065	0.160150439
GBM	PGR	(continuous)	1.007705083	0.88507701	1.147323367	0.907700873	160/128	436(73.15%)	0.907721712	0.907700873	0.90770021	0.535259105
GBM	PGR	H (vs L)	0.938231214	0.661748009	1.330231142	0.720379475	80/64--80/64	436(73.15%)	0.720426448	0.720379475	0.720335031	0.844679001
GBM	karnofsky_performance_score	(continuous)	0.974452839	0.967270497	0.981688513	7.07E-12	439/359	157(26.34%)	1.01E-10	7.07E-12	1.76E-11	0.02390047
GBM	age_at_initial_pathologic_diagnosis	(continuous)	1.034097065	1.026857853	1.041387313	0	596/491	0(0%)	0	0	0	1.89E-05
GBM	race	BLACK_OR_AFRICAN_AMERICAN (vs WHITE)	0.746548635	0.523244037	1.065152825	0.106985645	51/33--507/431	NA	NA	NA	NA	0.044411228
GBM	race	ASIAN (vs WHITE)	0.442731918	0.209608788	0.935130406	0.032698227	13/7--507/431	NA	NA	NA	NA	0.745178411
GBM	race	Global	NA	NA	NA	NA	NA	25(4.19%)	0.014755789	0.03141447	0.027603628	0.122522353
GBM	gender	FEMALE (vs MALE)	0.828435982	0.688858659	0.996294621	0.045565199	230/184--366/307	0(0%)	0.044003055	0.045565199	0.045256958	0.090030856
GBM	histological_type	Glioblastoma_Multiforme_(GBM) (vs Untreated_primary_(de_novo)_GBM)	0.980034942	0.63846005	1.504351742	0.926508896	31/22--545/450	NA	NA	NA	NA	0.207645255
GBM	histological_type	Treated_primary_GBM (vs Untreated_primary_(de_novo)_GBM)	0.527195389	0.332006493	0.837137178	0.006658964	20/19--545/450	NA	NA	NA	NA	0.029403238
GBM	histological_type	Global	NA	NA	NA	NA	NA	0(0%)	0.011330907	0.025184957	0.022250729	0.037569789
GBM	tumor_status	TUMOR_FREE (vs WITH_TUMOR)	0.278784174	0.132053619	0.588553469	0.000807039	27/7--514/445	55(9.23%)	2.79E-05	0.000807039	0.000340371	0.105636562
GBM	new_tumor_event_type	Progression_of_Disease (vs No)	0.692630694	0.56570875	0.84802874	0.00037643	230/166--256/227	NA	NA	NA	NA	2.37E-12
GBM	new_tumor_event_type	Recurrence (vs No)	0.563964928	0.437288775	0.727337307	1.02E-05	107/95--256/227	NA	NA	NA	NA	1.88E-11
GBM	new_tumor_event_type	Locoregional_Disease (vs No)	0.539003385	0.171858386	1.690488645	0.28926834	3/3--256/227	NA	NA	NA	NA	0.0443579
GBM	new_tumor_event_type	Global	NA	NA	NA	NA	NA	0(0%)	6.11E-05	4.75E-05	3.93E-05	3.75E-14
GBM	new_tumor_event_dx_days_to	No (vs Yes)	1.856185615	1.531367489	2.249900865	2.94E-10	215/160--381/331	0(0%)	1.41E-09	2.94E-10	1.59E-10	8.10E-15
GBM	history_of_neoadjuvant_treatment	Yes (vs No)	0.473496665	0.300817475	0.745299426	0.001237631	21/20--575/471	0(0%)	0.00030413	0.001237631	0.000960762	0.066992535
HNSC	AR	(continuous)	0.952245332	0.885623785	1.023878521	0.186072612	519/220	9(1.7%)	0.180990666	0.186072612	0.185917672	0.829096438
HNSC	AR	H (vs L)	0.819089713	0.627839914	1.068597176	0.141309004	260/114--259/106	9(1.7%)	0.141095271	0.141309004	0.140661259	0.606759585
HNSC	ESR1	(continuous)	0.896660307	0.829840743	0.968860245	0.005769669	519/220	9(1.7%)	0.005248244	0.005769669	0.005790169	0.790083628
HNSC	ESR1	H (vs L)	0.752708832	0.576202636	0.983283572	0.037195671	261/121--258/99	9(1.7%)	0.036588639	0.037195671	0.036573238	0.815707542
HNSC	ESR2	(continuous)	0.961416846	0.845328031	1.093448128	0.548977094	519/220	9(1.7%)	0.548241764	0.548977094	0.549009323	0.094844528
HNSC	ESR2	H (vs L)	0.771038463	0.589612924	1.008289145	0.057478531	261/124--258/96	9(1.7%)	0.056438866	0.057478531	0.056792939	0.215906881
HNSC	PGR	(continuous)	0.998251744	0.926328177	1.075759724	0.963419192	519/220	9(1.7%)	0.963410142	0.963419192	0.963419205	0.903321861
HNSC	PGR	H (vs L)	0.862394896	0.661286057	1.124664505	0.274499272	261/111--258/109	9(1.7%)	0.27454478	0.274499272	0.274066715	0.812029704
HNSC	tobacco_smoking_history	(continuous)	0.966142403	0.857764039	1.088214359	0.570450538	514/214	14(2.65%)	0.570094194	0.570450538	0.570383455	0.820659754
HNSC	age_at_initial_pathologic_diagnosis	(continuous)	1.020482894	1.008142718	1.03297412	0.0010891	527/223	1(0.19%)	0.001003645	0.0010891	0.001091723	0.984555162
HNSC	race	BLACK_OR_AFRICAN_AMERICAN (vs WHITE)	1.60074496	1.035892682	2.473600278	0.034109516	48/23--452/189	NA	NA	NA	NA	0.886325191
HNSC	race	ASIAN (vs WHITE)	1.133893061	0.420509249	3.057515328	0.803915654	11/4--452/189	NA	NA	NA	NA	0.796505363
HNSC	race	AMERICAN_INDIAN_OR_ALASKA_NATIVE (vs WHITE)	0.653679878	0.091343672	4.677908962	0.672000547	2/1--452/189	NA	NA	NA	NA	0.102097166
HNSC	race	Global	NA	NA	NA	NA	NA	15(2.84%)	0.2344416	0.192260972	0.18509518	0.42757078
HNSC	tobacco_smoking_history_v2	No (vs Yes)	1.898762236	0.961165083	3.750966501	0.064901685	13/9--515/214	1(0.19%)	0.091342792	0.064901685	0.060706044	0.076313007
HNSC	gender	FEMALE (vs MALE)	1.376460131	1.038315805	1.824726622	0.026325837	142/72--386/151	1(0.19%)	0.029477204	0.026325837	0.025703645	0.899758512
HNSC	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_I)	2.072438805	0.722246672	5.946725356	0.175432201	82/29--270/133	NA	NA	NA	NA	0.724960898
HNSC	ajcc_pathologic_tumor_stage	Stage_III (vs Stage_I)	2.25321465	0.789432219	6.431174379	0.128986747	74/26--270/133	NA	NA	NA	NA	0.951008979
HNSC	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_I)	3.745698434	1.385139023	10.12913255	0.009272126	27/4--270/133	NA	NA	NA	NA	0.739052447
HNSC	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	76(14.39%)	0.000206191	0.000827217	0.000499454	0.781124818
HNSC	pathologic_stage_v2	StageIII/IV (vs StageI/II)	1.847054851	1.24937126	2.7306628	0.002097065	101/30--352/162	76(14.39%)	0.001005358	0.002097065	0.001785629	0.685190728
HNSC	histological_grade	G2 (vs G1)	1.691077774	1.07833909	2.651989588	0.022108223	125/56--311/136	NA	NA	NA	NA	0.619286353
HNSC	histological_grade	G3 (vs G1)	1.403732124	0.86054491	2.289786219	0.174340868	63/23--311/136	NA	NA	NA	NA	0.175814554
HNSC	histological_grade	G4 (vs G1)	1.60E-07	0	Inf	0.992071369	18/7--311/136	NA	NA	NA	NA	0.999994661
HNSC	histological_grade	GX (vs G1)	0.933323183	0.379355524	2.296242201	0.880586542	7/0--311/136	NA	NA	NA	NA	0.826218075
HNSC	histological_grade	Global	NA	NA	NA	NA	NA	5(0.95%)	0.004572134	0.136692139	0.026705469	0.561825731
HNSC	histological_grade_v2	G_3/4/High (vs G_1/2/Low)	0.860866738	0.63296714	1.170821505	0.339659342	132/56--374/159	NA	NA	NA	NA	0.244870862
HNSC	histological_grade_v2	GX (vs G_1/2/Low)	0.615135663	0.271376103	1.394344898	0.244509963	18/7--374/159	NA	NA	NA	NA	0.520259359
HNSC	histological_grade_v2	Global	NA	NA	NA	NA	NA	5(0.95%)	0.322603579	0.354071136	0.349982068	0.382454811
HNSC	laterality	Left (vs Right)	1.449620689	0.990940188	2.120612492	0.055738828	146/56--168/52	NA	NA	NA	NA	0.967773351
HNSC	laterality	Midline (vs Right)	1.829454456	0.989415159	3.382709042	0.054100354	34/13--168/52	NA	NA	NA	NA	0.936512625
HNSC	laterality	Global	NA	NA	NA	NA	NA	181(34.28%)	0.063636392	0.062198057	0.059247969	0.996717297
HNSC	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	7.049309954	5.209088932	9.539628039	0	163/130--335/67	31(5.87%)	0	0	0	0.839210667
HNSC	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	5.2147255	3.561745797	7.634840776	0	55/38--386/121	88(16.67%)	1.33E-13	0	0	0.789237746
HNSC	margin_status	Positive (vs Negative)	1.737767968	1.21488894	2.485690182	0.002479821	60/38--357/148	NA	NA	NA	NA	0.477879322
HNSC	margin_status	Close (vs Negative)	1.368977229	0.854455834	2.193324194	0.191577708	50/20--357/148	NA	NA	NA	NA	0.70877372
HNSC	margin_status	Global	NA	NA	NA	NA	NA	62(11.74%)	0.011101907	0.007290371	0.006523166	0.751036947
HNSC	new_tumor_event_after_initial_treatment	YES (vs NO)	3.083047087	1.891325536	5.025670706	6.30E-06	49/31--150/36	330(62.5%)	1.23E-05	6.30E-06	1.99E-06	0.270705398
HNSC	new_tumor_event_type	Locoregional_Recurrence (vs No)	1.815722967	1.117277298	2.950789297	0.016059341	29/18--458/188	NA	NA	NA	NA	0.365863971
HNSC	new_tumor_event_type	Distant_Metastasis (vs No)	1.805785855	1.003970554	3.247966325	0.04847341	20/12--458/188	NA	NA	NA	NA	0.185293129
HNSC	new_tumor_event_type	Locoregional_Disease (vs No)	0.602393235	0.192369219	1.886360047	0.384157791	11/3--458/188	NA	NA	NA	NA	0.804291199
HNSC	new_tumor_event_type	New_Primary_Tumor (vs No)	0.386586674	0.095917009	1.558110061	0.181424051	10/2--458/188	NA	NA	NA	NA	0.0152977
HNSC	new_tumor_event_type	Global	NA	NA	NA	NA	NA	1(0.19%)	0.018766618	0.016628102	0.01298774	0.089660264
HNSC	new_tumor_event_dx_days_to	Yes (vs No)	2.211739424	1.690523206	2.89365521	7.08E-09	145/93--383/130	1(0.19%)	2.02E-08	7.08E-09	2.86E-09	0.003861493
HNSC	postoperative_rx_tx	YES (vs NO)	1.43816499	0.961530615	2.151068833	0.076896228	66/28--462/195	1(0.19%)	0.090002351	0.076896228	0.075304052	0.256493021
HNSC	number_of_lymphnodes_positive_by_he	Yes (vs No)	1.409188563	1.0823136	1.834784674	0.010852541	241/118--287/105	1(0.19%)	0.010806011	0.010852541	0.010473025	0.518003493
HNSC	perineural_invasion_present	YES (vs NO)	1.583318475	1.212620095	2.067339478	0.000734121	172/94--356/129	1(0.19%)	0.000887021	0.000734121	0.0006592	0.153155971
HNSC	extracapsular_spread_pathologic	Microscopic_Extension (vs No_Extranodal_Extension)	2.734619041	1.900608224	3.934604306	5.98E-08	77/47--248/82	NA	NA	NA	NA	0.87745506
HNSC	extracapsular_spread_pathologic	Gross_Extension (vs No_Extranodal_Extension)	2.588804825	1.620619293	4.13540086	6.88E-05	38/24--248/82	NA	NA	NA	NA	0.192029331
HNSC	extracapsular_spread_pathologic	Global	NA	NA	NA	NA	NA	166(31.44%)	4.43E-08	1.59E-08	3.81E-09	0.368441163
HNSC	lymphovascular_invasion	YES (vs NO)	1.652644757	1.182775218	2.30917477	0.003245219	124/63--232/78	173(32.77%)	0.003717555	0.003245219	0.002939457	0.996812573
KICH	AR	(continuous)	1.177282952	0.888310144	1.56026041	0.256050046	Sep-65	48(42.48%)	0.242996722	0.256050046	0.249901484	0.908689285
KICH	AR	H (vs L)	1.561148742	0.389951416	6.249971913	0.529117632	32/3--33/6	48(42.48%)	0.520381399	0.529117632	0.52572792	0.885291326
KICH	ESR1	(continuous)	1.036659277	0.695439856	1.545298918	0.859696687	Sep-65	48(42.48%)	0.860371589	0.859696687	0.859690144	0.664945397
KICH	ESR1	H (vs L)	2.096301275	0.523946239	8.387270883	0.295429927	32/3--33/6	48(42.48%)	0.280582433	0.295429927	0.284501521	0.884480372
KICH	ESR2	(continuous)	2.184408856	1.242205679	3.841265686	0.006666371	Sep-65	48(42.48%)	0.012633436	0.006666371	0.00535419	0.268140697
KICH	ESR2	H (vs L)	4.539791313	0.941919604	21.88053533	0.059376466	34/2--31/7	48(42.48%)	0.036258692	0.059376466	0.038515758	0.240945257
KICH	PGR	(continuous)	0.875900282	0.675759094	1.135317764	0.316778096	Sep-65	48(42.48%)	0.327606177	0.316778096	0.310707378	0.25022045
KICH	PGR	H (vs L)	1.449913475	0.388871964	5.406018637	0.580065055	33/4--32/5	48(42.48%)	0.578541399	0.580065055	0.577897101	0.97092563
KICH	age_at_initial_pathologic_diagnosis	(continuous)	1.068433385	1.018329962	1.121001976	0.006909147	112/12	1(0.88%)	0.004337062	0.006909147	0.00480083	0.786473304
KICH	gender	FEMALE (vs MALE)	0.835517141	0.265031198	2.63398761	0.759031803	51/5--62/8	1(0.88%)	0.758017805	0.759031803	0.758718425	0.387813006
