Cancer	Characteristic	Type	Total	Percent	Events	
		FEMALE	191	35.57%	65	
	ajcc_pathologic_tumor_stage					
		Stage_I	269	50.09%	45	1
		Stage_III	125	23.28%	51	3
		Stage_IV	83	15.46%	67	4
		Stage_II	57	10.61%	13	2
	pathologic_stage_v2					
		StageI/II	326	60.71%	58	
		StageIII/IV	208	38.73%	118	
	histological_grade_v2					
		G_3/4/High	285	53.07%	131	2
		G_1/2/Low	244	45.44%	45	1
		GX	5	0.93%	1	3
	laterality					
		Right	283	52.70%	79	
		Left	253	47.11%	98	
		Bilateral	1	0.19%	0	
	tumor_status					
		TUMOR_FREE	353	65.74%	55	
		WITH_TUMOR	159	29.61%	110	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	120	22.35%	6	
		Uncomplete_Remission/Response	19	3.54%	6	
	new_tumor_event_dx_days_to					
		NO	410	76.35%	99	
		Yes	127	23.65%	78	
	other_dx					
		No	459	85.47%	153	
		Yes	78	14.53%	24	
	history_of_neoadjuvant_treatment					
		No	519	96.65%	167	
		Yes	18	3.35%	10	
	lymph_nodes_examined_positive					
		NO	519	96.65%	165	
		Yes	18	3.35%	12	
	serum_calcium_level					
		Low	204	37.99%	66	2
		Normal	151	28.12%	62	1
		Elevated	10	1.86%	9	3
	hemoglobin_level					
		Low	263	48.98%	118	2
		Normal	186	34.64%	43	1
		Elevated	5	0.93%	3	3
	platelet_count					
		Normal	360	67.04%	108	1
		Low	46	8.57%	20	2
		Elevated	38	7.08%	30	3
	white_cell_count					
		Normal	268	49.91%	104	1
		Elevated	164	30.54%	46	3
		Low	9	1.68%	6	2
KIRP			291		44	
	BMI	Median(Range)	28.05570579(11.73500744-414.8942369)		30	
		Mean(SD)	31.8225416616901(¡À31.5143141802345)			
	tobacco_smoking_history	Median(Range)	2(1-5)		39	
		Mean(SD)	2.16532258064516(¡À1.28872685219523)			
	age_at_initial_pathologic_diagnosis	Median(Range)	61(28-88)		44	
		Mean(SD)	61.4895833333333(¡À12.0683259161376)			
	race					
		WHITE	207	71.13%	35	
		BLACK_OR_AFRICAN_AMERICAN	61	20.96%	7	
		ASIAN	6	2.06%	1	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	2	0.69%	0	
	BMI_category					
		Over	86	29.55%	13	2
		Obesity	76	26.12%	8	3
		Normal	51	17.53%	9	1
	tobacco_smoking_history_v2					
		Yes	248	85.22%	39	
		No	43	14.78%	5	
	gender					
		MALE	214	73.54%	31	
		FEMALE	77	26.46%	13	
	ajcc_pathologic_tumor_stage					
		Stage_I	173	59.45%	12	1
		Stage_III	52	17.87%	16	3
		Stage_II	21	7.22%	2	2
		Stage_IV	15	5.15%	9	4
	pathologic_stage_v2					
		StageI/II	194	66.67%	14	
		StageIII/IV	67	23.02%	25	
	clinical_stage					
		Stage_I	139	47.77%	11	1
		Stage_III	29	9.97%	12	3
		Stage_II	21	7.22%	1	2
		Stage_IV	11	3.78%	7	4
	clinical_stage_v2					
		StageI/II	160	54.98%	12	
		StageIII/IV	40	13.75%	19	
	laterality					
		Left	160	54.98%	29	
		Right	128	43.99%	15	
		Bilateral	2	0.69%	0	
	tumor_status					
		TUMOR_FREE	229	78.69%	12	
		WITH_TUMOR	47	16.15%	28	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	185	63.57%	17	
		Uncomplete_Remission/Response	14	4.81%	8	
	new_tumor_event_dx_days_to					
		No	238	81.79%	20	
		Yes	53	18.21%	24	
	other_dx					
		No	235	80.76%	37	
		Yes	56	19.24%	7	
	primary_lymph_node_presentation_assessment					
		NO	232	79.73%	22	
		YES	55	18.90%	22	
	ldh_level					
		Normal	34	11.68%	5	
		Elevated	8	2.75%	2	
		Low	1	0.34%	0	
	lymph_nodes_examined_positive					
		NO	262	90.03%	25	
		Yes	29	9.97%	19	
	serum_calcium_level					
		Normal	134	46.05%	15	
		Low	41	14.09%	10	
		Elevated	6	2.06%	1	
	hemoglobin_level					
		Normal	112	38.49%	7	
		Low	97	33.33%	23	
		Elevated	1	0.34%	0	
	platelet_count					
		Normal	183	62.89%	24	
		Low	16	5.50%	2	
		Elevated	7	2.41%	4	
	white_cell_count					
		Normal	152	52.23%	20	
		Elevated	44	15.12%	7	
		Low	11	3.78%	3	
LAML			200		133	
	percent_cellularity	Median(Range)	90(10-100)		125	
		Mean(SD)	79.8412698412698(¡À20.1846842737257)			
	wbc_24hr_of_banking	Median(Range)	17(1-298)		133	
		Mean(SD)	37.2462311557789(¡À48.833821213478)			
	hemoglobin_24hr_of_banking	Median(Range)	9(6-14)		132	
		Mean(SD)	9.54773869346734(¡À1.41652669970248)			
	platelet_count_preresection	Median(Range)	52(8-351)		133	
		Mean(SD)	65.98(¡À52.0786957667319)			
	blast_count	Median(Range)	32(0-98)		133	
		Mean(SD)	36.28(¡À32.0577619384528)			
	promyelocytes_count	Median(Range)	0(0-71)		133	
		Mean(SD)	2.185(¡À8.76383471974311)			
	myelocytes_24hr_of_banking	Median(Range)	0(0-22)		133	
		Mean(SD)	1.05(¡À2.35269544977606)			
	metamyelocytes_24hr_of_banking	Median(Range)	0(0-6)		133	
		Mean(SD)	0.45(¡À1.10162055136784)			
	bands_24hr_of_banking	Median(Range)	0(0-22)		133	
		Mean(SD)	1.715(¡À3.51218625094207)			
	segs_24hr_of_banking	Median(Range)	6(0-94)		133	
		Mean(SD)	12.165(¡À15.2959999040706)			
	basophils_count	Median(Range)	0(0-12)		133	
		Mean(SD)	0.7165(¡À1.63260674195268)			
	basophils_count.1	Median(Range)	0(0-10)		133	
		Mean(SD)	0.352(¡À1.24686380440434)			
	lymphocytes_count	Median(Range)	20(0-94)		133	
		Mean(SD)	27.505(¡À23.2774390957053)			
	monocytes_count	Median(Range)	5(0-76)		133	
		Mean(SD)	12.34(¡À16.4079402276021)			
	prolymphocytes_24hr_of_banking	Median(Range)	0(0-4)		133	
		Mean(SD)	0.055(¡À0.364195264871434)			
	promonocytes_24hr_of_banking	Median(Range)	0(0-41)		133	
		Mean(SD)	1.645(¡À4.71168492944635)			
	abnormal_lymphocyte_percent	Median(Range)	0(0-48)		132	
		Mean(SD)	2.34170854271357(¡À6.30085925641647)			
	percent_blasts_peripheral_blood	Median(Range)	72(0-100)		133	
		Mean(SD)	66.44(¡À23.0410688613041)			
	age_at_initial_pathologic_diagnosis	Median(Range)	57.5(18-88)		133	
		Mean(SD)	55.03(¡À16.0720457088179)			
	race					
		WHITE	181	90.50%	122	
		BLACK_OR_AFRICAN_AMERICAN	15	7.50%	9	
		ASIAN	2	1%	1	
	gender					
		MALE	109	54.50%	70	
		FEMALE	91	45.50%	63	
	other_dx					
		No	186	93%	124	
		Yes	14	7%	9	
	history_of_neoadjuvant_treatment					
		No	151	75.50%	98	
		Yes	49	24.50%	35	
	history_neoadjuvant_hydroxyurea_tx					
		NO	151	75.50%	98	
		YES	49	24.50%	35	
	fab_category					
		M1	44	22%	31	2
		M2	44	22%	29	3
		M4	42	21%	30	5
		M5	22	11%	15	6
		M3	21	10.50%	7	4
		M0_Undifferentiated	19	9.50%	14	1
		M6	3	1.50%	3	7
		M7	3	1.50%	3	8
	cyto_risk_group					
		Intermediate/Normal	116	58%	82	
		Poor	43	21.50%	34	
		Favorable	38	19%	14	
	fish_abnormality_detected					
		NO	78	39%	53	
		YES	78	39%	46	
	molecular_abnormality_detected					
		NO	50	25%	31	
		YES	38	19%	22	
LGG			515		125	
	eastern_cancer_oncology_group	Median(Range)	0.5(0-4)		30	
		Mean(SD)	0.566666666666667(¡À0.669735665242295)			
	karnofsky_performance_score	Median(Range)	90(40-100)		87	
		Mean(SD)	87.4662162162162(¡À11.9035192292543)			
	age_at_initial_pathologic_diagnosis	Median(Range)	41(14-87)		125	
		Mean(SD)	42.9417475728155(¡À13.3556741484473)			
	race					
		WHITE	475	92.23%	117	
		BLACK_OR_AFRICAN_AMERICAN	21	4.08%	7	
		ASIAN	8	1.55%	0	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	1	0.19%	0	
	gender					
		MALE	285	55.34%	71	
		FEMALE	230	44.66%	54	
	histological_grade_v2					
		G_3/4/High	265	51.46%	88	
		G_1/2/Low	249	48.35%	37	
	histological_type					
		Astrocytoma	194	37.67%	58	
		Oligodendroglioma	191	37.09%	42	
		Oligoastrocytoma	130	25.24%	25	
	laterality					
		Right	253	49.13%	62	
		Left	250	48.54%	59	
		Midline	7	1.36%	3	
	tumor_status					
		WITH_TUMOR	269	52.23%	113	
		TUMOR_FREE	212	41.17%	4	
	treatment_outcome_first_course					
		Stable_Disease	146	28.35%	31	3
		Complete_Remission/Response	135	26.21%	7	1
		Progressive_Disease	101	19.61%	68	4
		Partial_Remission/Response	63	12.23%	5	2
	treatment_outcome_first_course_v2					
		Uncomplete_Remission/Response	310	60.19%	104	
		Complete_Remission/Response	135	26.21%	7	
	new_tumor_event_dx_days_to					
		NO	350	67.96%	36	
		Yes	165	32.04%	89	
	radiation_therapy					
		NO	373	72.43%	87	
		YES	142	27.57%	38	
	targeted_molecular_therapy					
		NO	377	73.20%	92	
		YES	138	26.80%	33	
	relative_family_cancer_history					
		NO	383	74.37%	90	
		YES	132	25.63%	35	
	supratentorial_localization					
		Not_listed_in_Medical_Record	222	43.11%	69	4
		Cerebral_Cortex	142	27.57%	26	1
		White_Matter	119	23.11%	26	2
		"Deep_Gray_(e.g.basal_ganglia,_thalamus)"	3	0.58%	1	3
	history_seizures					
		YES	303	58.83%	69	
		NO	212	41.17%	56	
	history_headaches					
		NO	345	66.99%	86	
		YES	170	33.01%	39	
	symp_changes_mental_status					
		NO	401	77.86%	96	
		YES	114	22.14%	29	
	symp_changes_visual					
		NO	450	87.38%	109	
		YES	65	12.62%	16	
	symp_changes_sensory					
		NO	443	86.02%	104	
		YES	72	13.98%	21	
	symp_changes_motor_movement					
		NO	405	78.64%	100	
		YES	110	21.36%	25	
	firstsymptomlongestduration					
		0-30Days	219	42.52%	56	1
		>181Days	111	21.55%	23	4
		31-90Days	77	14.95%	21	2
		91-180Days	37	7.18%	12	3
	histor_hay_fever					
		NO	478	92.82%	121	
		YES	37	7.18%	4	
	history_neoadjuvant_steroid_tx					
		NO	364	70.68%	77	
		YES	151	29.32%	48	
	history_neoadjuvant_medication					
		YES	265	51.46%	69	
		NO	250	48.54%	56	
	idh1_mutation_found					
		YES	91	17.67%	7	
		NO	38	7.38%	14	
LIHC			377		132	
	BMI	Median(Range)	24.44727891(14.52664399-131.8359375)		114	
		Mean(SD)	26.1215382659531(¡À8.39077107579059)			
	age_at_initial_pathologic_diagnosis	Median(Range)	61(16-90)		132	
		Mean(SD)	59.4547872340426(¡À13.5104138977288)			
	race					
		WHITE	187	49.60%	77	
		ASIAN	161	42.71%	44	
		BLACK_OR_AFRICAN_AMERICAN	17	4.51%	6	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	2	0.53%	0	
	BMI_category					
		Normal	180	47.75%	61	
		Over	92	24.40%	29	
		Obesity	69	18.30%	24	
	gender					
		MALE	255	67.64%	81	
		FEMALE	122	32.36%	51	
	ajcc_pathologic_tumor_stage					
		Stage_I	175	46.42%	44	
		Stage_II	87	23.08%	26	
		Stage_III	86	22.81%	45	
		Stage_IV	5	1.33%	3	
	pathologic_stage_v2					
		StageI/II	262	69.50%	70	
		StageIII/IV	91	24.14%	48	
	histological_grade					
		G2	180	47.75%	62	2
		G3	124	32.89%	43	3
		G1	55	14.59%	18	1
		G4	13	3.45%	5	4
	histological_grade_v2					
		G_1/2/Low	235	62.33%	80	
		G_3/4/High	137	36.34%	48	
	tumor_status					
		TUMOR_FREE	202	53.58%	43	
		WITH_TUMOR	154	40.85%	80	
	residual_tumor					
		R0	330	87.53%	112	1
		RX	22	5.84%	8	4
		R1	17	4.51%	8	2
		R2	1	0.27%	1	3
	new_tumor_event_type					
		NO	199	52.79%	51	
		Intrahepatic_Recurrence	76	20.16%	28	
		Locoregional_Recurrence	62	16.45%	32	
		Extrahepatic_Recurrence	29	7.69%	15	
		New_Primary_Tumor	11	2.92%	6	
	new_tumor_event_dx_days_to					
		NO	198	52.52%	51	
		YES	179	47.48%	81	
	other_dx					
		No	340	90.19%	119	
		Yes	37	9.81%	13	
	postoperative_rx_tx					
		NO	362	96.02%	125	
		YES	15	3.98%	7	
	relative_family_cancer_history					
		NO	263	69.76%	82	
		YES	114	30.24%	50	
	eastern_cancer_oncology_group					
		0	166	44.03%	36	
		1	86	22.81%	33	
		2	26	6.90%	14	
		3	12	3.18%	8	
		4	3	0.80%	2	
	risk_factors_Non.Alcoholic_Fatty_Liver_Disease					
		NO	357	94.69%	128	
		Yes	20	5.31%	4	
	risk_factors_Hepatitis_C_risk					
		NO	321	85.15%	113	
		Hepatitis_C	56	14.85%	19	
	risk_factors_Hepatitis_B					
		NO	270	71.62%	112	
		Hepatitis_B	107	28.38%	20	
	alcohol					
		NO	259	68.70%	91	
		Yes	118	31.30%	41	
	viral_hepatitis_serology					
		NO	211	55.97%	59	
		Yes	166	44.03%	73	
	viral_hepatitis_serology_HC					
		NO	230	61.01%	65	
		Yes	147	38.99%	67	
	viral_hepatitis_serology_HB					
		NO	273	72.41%	84	
		Yes	104	27.59%	48	
	vascular_invasion					
		None	210	55.70%	62	
		Micro	94	24.93%	28	
		Macro	17	4.51%	8	
	child_pugh_classification					
		A	223	59.15%	61	
		B	21	5.57%	8	
		C	1	0.27%	1	
	alpha_fetoprotien_norm_range_lower					
		Yes	150	39.79%	53	
		NO	119	31.56%	25	
	platelet_count_preresection					
		Normal	221	58.62%	64	
		Low	69	18.30%	22	
		High	20	5.31%	12	
	prothrombin_time_INR_at_procurement					
		Normal	201	53.32%	62	
		H	46	12.20%	11	
		L	21	5.57%	4	
	serum_albumin_preresection					
		Normal	222	58.89%	68	
		L	68	18.04%	22	
		H	8	2.12%	1	
	bilirubin_total					
		Normal	252	66.84%	73	
		H	49	13%	17	
		L	1	0.27%	1	
	creatinine_level_preresection					
		Normal	238	63.13%	73	
		L	44	11.67%	13	
		H	19	5.04%	8	
	ishak_fibrosis_score					
		0_No_Fibrosis	76	20.16%	31	1
		6_Established_Cirrhosis	72	19.10%	18	5
		1/2_Portal_Fibrosis	31	8.22%	9	2
		3/4_Fibrous_Speta	30	7.96%	6	3
		5_Nodular_Formation_and_Incomplete_Cirrhosis	9	2.39%	2	4
	hepatic_inflammation_adj_tissue					
		None	119	31.56%	37	
		Mild	101	26.79%	27	
		Severe	19	5.04%	6	
LUAD			522		188	
	tobacco_smoking_history	Median(Range)	3(1-5)		178	
		Mean(SD)	2.81496062992126(¡À1.07930715888486)			
	age_at_initial_pathologic_diagnosis	Median(Range)	66(33-88)		181	
		Mean(SD)	65.3320079522863(¡À10.0186633282289)			
	race					
		WHITE	393	75.29%	145	
		BLACK_OR_AFRICAN_AMERICAN	53	10.15%	17	
		ASIAN	8	1.53%	1	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	1	0.19%	0	
	tobacco_smoking_history_v2					
		Yes	508	97.32%	178	
		No	14	2.68%	10	
	gender					
		FEMALE	280	53.64%	98	
		MALE	242	46.36%	90	
	ajcc_pathologic_tumor_stage					
		Stage_I	279	53.45%	69	
		Stage_II	124	23.75%	54	
		Stage_III	85	16.28%	47	
		Stage_IV	26	4.98%	16	
	pathologic_stage_v2					
		StageI/II	403	77.20%	123	
		StageIII/IV	111	21.26%	63	
	tumor_status					
		TUMOR_FREE	294	56.32%	36	
		WITH_TUMOR	171	32.76%	116	
	treatment_outcome_first_course					
		Complete_Remission/Response	320	61.30%	89	1
		Progressive_Disease	68	13.03%	46	4
		Stable_Disease	37	7.09%	9	3
		Partial_Remission/Response	6	1.15%	2	2
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	320	61.30%	89	
		Uncomplete_Remission/Response	111	21.26%	57	
	residual_tumor					
		R0	348	66.67%	134	1
		RX	26	4.98%	7	4
		R1	13	2.49%	10	2
		R2	5	0.96%	3	3
	new_tumor_event_type					
		NO	391	74.90%	118	
		Distant_Metastasis	63	12.07%	38	
		Locoregional_Recurrence	48	9.20%	23	
		New_Primary_Tumor	11	2.11%	1	
		Locoregional_Recurrence|Distant_Metastasis	8	1.53%	7	
		Distant_Metastasis|New_Primary_Tumor	1	0.19%	1	
	new_tumor_event					
		NO	335	64.18%	80	
		Yes	187	35.82%	108	
	other_dx					
		No	429	82.18%	155	
		Yes	93	17.82%	33	
	targeted_molecular_therapy					
		No	484	82.11%	174	
		YES	38	7.28%	14	
	eastern_cancer_oncology_group					
		1	100	19.16%	42	2
		0	95	18.20%	31	1
		2	21	4.02%	7	3
		3	3	0.57%	2	4
	location_lung_parenchyma					
		Peripheral_Lung	127	24.33%	52	
		Central_Lung	64	12.26%	27	
	egfr_mutation_status					
		NO	197	37.74%	84	
		YES	80	15.33%	26	
	eml4_alk_translocation_status					
		NO	213	40.80%	87	
		YES	34	6.51%	14	
LUSC			504		219	
	tobacco_smoking_history	Median(Range)	4(1-5)		216	
		Mean(SD)	3.1869918699187(¡À0.968754999164532)			
	age_at_initial_pathologic_diagnosis	Median(Range)	68(39-90)		217	
		Mean(SD)	67.2767676767677(¡À8.6088038484436)			
	race					
		WHITE	351	69.64%	149	
		BLACK_OR_AFRICAN_AMERICAN	31	6.15%	21	
		ASIAN	9	1.79%	4	
	tobacco_smoking_history_v2					
		Yes	492	97.62%	216	
		No	12	2.38%	3	
	gender					
		MALE	373	74.01%	168	
		FEMALE	131	25.99%	51	
	ajcc_pathologic_tumor_stage					
		Stage_I	245	48.61%	102	
		Stage_II	163	32.34%	65	
		Stage_III	85	16.87%	45	
		Stage_IV	7	1.39%	5	
	pathologic_stage_v2					
		StageI/II	408	80.95%	167	
		StageIII/IV	92	18.25%	50	
	tumor_status					
		TUMOR_FREE	319	63.29%	76	
		WITH_TUMOR	114	22.62%	91	
	treatment_outcome_first_course					
		Complete_Remission/Response	311	61.71%	102	1
		Progressive_Disease	31	6.15%	24	4
		Stable_Disease	17	3.37%	8	3
		Partial_Remission/Response	4	0.79%	3	2
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	311	61.71%	102	
		Uncomplete_Remission/Response	52	10.32%	35	
	residual_tumor					
		R0	401	79.56%	177	1
		RX	23	4.56%	11	4
		R1	12	2.38%	6	2
		R2	4	0.79%	0	3
	new_tumor_event_type					
		NO	423	83.93%	170	
		Distant_Metastasis	35	6.94%	25	
		Locoregional_Recurrence	29	5.75%	18	
		New_Primary_Tumor	12	2.38%	3	
		Locoregional_Recurrence|Distant_Metastasis	3	0.60%	2	
		Distant_Metastasis|New_Primary_Tumor	2	0.40%	1	
	new_tumor_event_dx_days_to					
		NO	371	73.61%	125	
		Yes	133	26.39%	94	
	other_dx					
		No	433	85.91%	182	
		Yes	70	13.89%	37	
	targeted_molecular_therapy					
		NO	453	89.88%	203	
		YES	51	10.12%	16	
	eastern_cancer_oncology_group					
		1	93	18.45%	46	2
		0	70	13.89%	30	1
		2	26	5.16%	7	3
		3	5	0.99%	4	4
	location_lung_parenchyma					
		Central_Lung	147	29.17%	57	
		Peripheral_Lung	93	18.45%	43	
MESO			87		74	
	age_at_initial_pathologic_diagnosis	Median(Range)	64(28-81)		74	
		Mean(SD)	62.9885057471264(¡À9.75692270977389)			
	race					
		WHITE	85	97.70%	72	
		ASIAN	1	1.15%	1	
		BLACK_OR_AFRICAN_AMERICAN	1	1.15%	1	
	gender					
		MALE	71	81.61%	60	
		FEMALE	16	18.39%	14	
	pathologic_stage_v2					
		StageIII/IV	61	70.11%	52	2
		StageI/II	26	29.89%	22	1
	histological_type					
		Epithelioid_mesothelioma	57	65.52%	46	
		Biphasic_mesothelioma	23	26.44%	21	
		Diffuse_malignant_mesothelioma_-_NOS	5	5.75%	5	
		Sarcomatoid_mesothelioma	2	2.30%	2	
	laterality					
		Right	54	62.07%	46	
		Left	30	34.48%	25	
		Bilateral	3	3.45%	3	
	tumor_status					
		WITH_TUMOR	50	57.47%	43	
		TUMOR_FREE	16	18.39%	10	
	new_tumor_event_type					
		NO	43	49.43%	36	
		Intrapleural_Progression	25	28.74%	20	
		Distant_Metastasis	10	11.49%	9	
		Locoregional_Recurrence	9	10.34%	9	
	new_tumor_event_dx_days_to					
		Yes	47	54.02%	41	
		NO	40	45.98%	33	
	radiation_therapy					
		NO	63	72.41%	55	
		YES	24	27.59%	19	
	postoperative_rx_tx					
		YES	51	58.62%	42	
		NO	36	41.38%	32	
	history_asbestos_exposure					
		Yes	56	64.37%	49	
		No	31	35.64%	25	
	family_history_cancer_type					
		NO	57	65.52%	49	
		Yes	30	34.48%	25	
OV			587		NA	
	age_at_initial_pathologic_diagnosis	Median(Range)	59(26-89)		NA	
		Mean(SD)	59.7359454855196(¡À11.5310880842434)			
	race					
		WHITE	498	84.84%	311	
		BLACK_OR_AFRICAN_AMERICAN	34	5.79%	22	
		ASIAN	20	3.41%	6	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	3	0.51%	3	
		NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER	1	0.17%	1	
	clinical_stage					
		Stage_III	446	75.98%	266	3
		Stage_IV	89	15.16%	69	4
		Stage_II	30	5.11%	8	2
		Stage_I	17	2.90%	4	1
	clinical_stage_v2					
		StageIII/IV	535	91.14%	335	2
		StageI/II	47	8.01%	12	1
	histological_grade_v2					
		G_3/4/High	496	84.50%	295	
		G_1/2/Low	75	12.78%	45	
		GX	10	1.70%	6	
		GB	2	0.34%	2	
	tumor_status					
		WITH_TUMOR	398	67.80%	302	
		TUMOR_FREE	120	20.44%	10	
	treatment_outcome_first_course					
		Complete_Remission/Response	331	56.39%	168	1
		Partial_Remission/Response	65	11.07%	57	2
		Progressive_Disease	42	7.16%	36	4
		Stable_Disease	31	5.28%	19	3
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	331	56.39%	168	
		Uncomplete_Remission/Response	138	23.51%	112	
	new_tumor_event_type					
		Recurrence	294	50.09%	219	3
		NO	259	44.12%	102	1
		Progression_of_Disease	34	5.79%	28	2
	new_tumor_event_dx_days_to					
		Yes	362	61.67%	263	
		NO	225	38.33%	86	
	anatomic_neoplasm_subdivision					
		Bilateral	400	68.14%	247	
		Left	82	13.97%	42	
		Right	71	12.10%	40	
	vascular_invasion_indicator					
		NO	496	84.50%	310	
		YES	91	15.50%	39	
	lymphovascular_invasion_indicator					
		NO	449	76.49%	282	
		YES	138	23.51%	67	
PAAD			185		100	
	tobacco_smoking_history	Median(Range)	2(1-5)		80	
		Mean(SD)	2.20134228187919(¡À1.3150884554147)			
	tumor_resected_max_dimension	Median(Range)	3.5(0.3-14)		94	
		Mean(SD)	3.84(¡À1.70566060706955)			
	age_at_initial_pathologic_diagnosis	Median(Range)	65(35-88)		100	
		Mean(SD)	64.8648648648649(¡À11.0546128532346)			
	race					
		WHITE	162	87.57%	86	
		ASIAN	11	5.95%	5	
		BLACK_OR_AFRICAN_AMERICAN	7	3.78%	5	
	tobacco_smoking_history_v2					
		Yes	149	80.54%	80	
		No	36	19.46%	20	
	gender					
		MALE	102	55.14%	51	
		FEMALE	83	44.86%	49	
	ajcc_pathologic_tumor_stage					
		Stage_II	152	82.16%	88	2
		Stage_I	21	11.35%	7	1
		Stage_IV	5	2.70%	3	4
		Stage_III	4	2.16%	2	3
	pathologic_stage_v2					
		StageI/II	173	93.51%	95	
		StageIII/IV	9	4.86%	5	
	histological_grade					
		G2	97	52.43%	52	2
		G3	51	27.57%	33	3
		G1	32	17.30%	12	1
		GX	3	1.62%	2	5
		G4	2	1.08%	1	4
	histological_grade_v2					
		G_1/2/Low	129	69.73%	64	
		G_3/4/High	53	28.65%	34	
		GX	3	1.62%	2	
	histological_type					
		Pancreas-Adenocarcinoma_Ductal_Type	154	83.24%	92	
		Pancreas-Adenocarcinoma-Other_Subtype	25	13.51%	6	
		Pancreas-Colloid_(mucinous_non-cystic)_Carcinoma	4	2.16%	2	
		Pancreas-Undifferentiated_Carcinoma	1	0.54%	0	
	tumor_status					
		WITH_TUMOR	105	56.76%	77	
		TUMOR_FREE	58	31.35%	13	
	treatment_outcome_first_course					
		Complete_Remission/Response	70	37.84%	26	1
		Progressive_Disease	56	30.27%	46	4
		Partial_Remission/Response	10	5.41%	5	2
		Stable_Disease	8	4.32%	5	3
	treatment_outcome_first_course_v2					
		Uncomplete_Remission/Response	74	40%	56	
		Complete_Remission/Response	70	37.84%	26	
	residual_tumor					
		R0	111	60%	56	
		R1	53	28.65%	32	
		R2	5	2.70%	2	
		RX	4	2.16%	3	
	new_tumor_event_type					
		NO	101	54.59%	44	
		Distant_Metastasis	59	31.89%	38	
		Locoregional_Recurrence	21	11.35%	16	
		Locoregional_Recurrence|Distant_Metastasis	2	1.08%	1	
		New_Primary_Tumor	2	1.08%	1	
	new_tumor_event_dx_days_to					
		NO	101	54.59%	44	
		Yes	84	45.41%	56	
	other_dx					
		No	166	89.73%	91	
		Yes	19	10.27%	9	
	radiation_therapy					
		NO	152	82.16%	89	
		YES	33	17.84%	11	
	targeted_molecular_therapy					
		YES	94	50.81%	44	
		NO	91	49.19%	56	
	number_of_lymphnodes_positive_by_he					
		Yes	132	71.35%	80	
		NO	53	28.65%	20	
	relative_family_cancer_history					
		NO	119	64.32%	64	
		YES	66	35.68%	36	
	grade_tier_system					
		Four_Tier	74	40%	34	
		Three_Tier	31	16.76%	16	
	alcohol_history_documented					
		YES	102	55.14%	53	
		NO	83	44.86%	47	
	diabetes_diagnosis_indicator					
		NO	147	79.46%	84	
		YES	38	20.54%	16	
PCPG			179		6	
	age_at_initial_pathologic_diagnosis	Median(Range)	46(19-83)		6	
		Mean(SD)	47.3296089385475(¡À15.1233789311665)			
	gender					
		FEMALE	101	56.42%	2	
		MALE	78	43.58%	4	
	histological_type					
		Pheochromocytoma	148	82.68%	4	
		Paraganglioma	18	10.06%	2	
		Paraganglioma;_Extra-adrenal_Pheochromocytoma	13	7.26%	0	
	laterality					
		Right	76	42.46%	2	
		Left	73	40.78%	2	
		Bilateral	2	1.12%	0	
	tumor_status					
		TUMOR_FREE	166	92.74%	2	
		WITH_TUMOR	13	7.26%	4	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	160	89.39%	1	
		Uncomplete_Remission/Response	12	6.70%	4	
	new_tumor_event_type					
		NO	161	89.94%	5	
		Yes	18	10.06%	1	
	other_dx					
		No	152	84.92%	3	
		Yes	27	15.08%	3	
	history_pheo_or_para_include_benign					
		NO	157	87.71%	4	
		YES	22	12.29%	2	
	submitted_tumor_site					
		Adrenal_gland	147	82.12%	4	
		Extra-adrenal_Site	32	17.88%	2	
PRAD			500		10	
	gleason_pattern_primary	Median(Range)	4(2-5)		10	
		Mean(SD)	3.694(¡À0.642798864934843)			
	gleason_pattern_secondary	Median(Range)	4(3-5)		10	
		Mean(SD)	3.916(¡À0.71970824638866)			
	gleason_score	Median(Range)	7(6-10)		10	
		Mean(SD)	7.61(¡À1.00793445408293)			
	psa_most_recent_results	Median(Range)	0.1(0-323)		10	
		Mean(SD)	1.74210158013544(¡À15.8067998161016)			
	age_at_initial_pathologic_diagnosis	Median(Range)	61(41-78)		10	
		Mean(SD)	61.006(¡À6.82283417153492)			
	histological_type					
		Prostate_Adenocarcinoma_Acinar_Type	485	97%	9	
		"Prostate_Adenocarcinoma,_Other_Subtype"	15	3%	1	
	tumor_status					
		TUMOR_FREE	347	69.40%	3	
		WITH_TUMOR	89	17.80%	5	
	treatment_outcome_first_course					
		Complete_Remission/Response	340	68%	3	
		Partial_Remission/Response	39	7.80%	1	
		Stable_Disease	30	6%	1	
		Progressive_Disease	29	5.80%	4	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	340	68%	3	
		Uncomplete_Remission/Response	98	19.60%	6	
	residual_tumor					
		R0	318	63.60%	4	
