Name	UCSC_RefGene_Name	UCSC_RefGene_Accession	UCSC_RefGene_Group	UCSC_CpG_Islands_Name
cg17081914	NCKAP5	NM_207363;NM_207481	TSS1500	
cg17087669	MAPK13	NM_002754	Body	chr6:36098039-36098621
cg17150789	FAM198A	NM_001129908	3'UTR	
cg17185622	PGCP	NM_016134	Body	
cg17197065	GK2	NM_033214;NM_033214	1stExon	
cg17197065	GK2	NM_033214;NM_033214	3'UTR	
cg17198320	DIP2C	NM_014974;NR_027152;NR_027151	Body	
cg17198320	C10orf108	NM_014974;NR_027152;NR_027151	TSS200	
cg17284334	C15orf59	NM_001039614	Body	chr15:74044561-74045885
cg17316300	IQCA1	NM_024726	Body	
cg17336139	PRAME	NM_206956;NM_006115;NM_206954;NM_006115;NR_027426;NM_206955;NM_206953;NM_206954;NM_206953	TSS200	chr22:22901386-22901698
cg17336139	PRAME	NM_206956;NM_006115;NM_206954;NM_006115;NR_027426;NM_206955;NM_206953;NM_206954;NM_206953	5'UTR	chr22:22901386-22901698
cg17336139	PRAME	NM_206956;NM_006115;NM_206954;NM_006115;NR_027426;NM_206955;NM_206953;NM_206954;NM_206953	1stExon	chr22:22901386-22901698
cg17336139	LOC648691	NM_206956;NM_006115;NM_206954;NM_006115;NR_027426;NM_206955;NM_206953;NM_206954;NM_206953	TSS200	chr22:22901386-22901698
cg17421241	PRDM16	NM_022114;NM_199454	Body	chr1:3203765-3204453
cg17445157	TIMD4	NM_001146726;NR_028472;NM_138379	Body	
cg17445157	LOC100286948	NM_001146726;NR_028472;NM_138379	Body	
cg17489748	GFRA1	NM_001145453;NM_005264;NM_145793	Body	chr10:117884813-117885029
cg17571559	HRH1	NM_001098213;NM_001098211;NM_001098212	5'UTR	
cg17571559	HRH1	NM_001098213;NM_001098211;NM_001098212	TSS200	
cg17595735	LOC399959	NR_024430	Body	
cg17654747	CNTNAP5	NM_130773	Body	
cg17658568	LOC399959	NR_024430	Body	
cg17806482	LAMB1	NM_002291	Body	
cg17945323	SLC22A8	NM_004254	Body	
cg17950169	TMEM63A	NM_014698	5'UTR	chr1:226069605-226070898
cg17951408	IQUB	NM_178827	3'UTR	
cg18095824	FNIP2	NM_020840	Body	
cg18127159	MAML3	NM_018717	Body	
cg18186343	MIR770	NR_030528;NR_003531;NR_003530;NR_002766	TSS1500	
cg18186343	MEG3	NR_030528;NR_003531;NR_003530;NR_002766	Body	
cg18199617	HMGCS2	NM_001166107;NM_005518	TSS200	
cg18219713	SNTG1	NM_018967	5'UTR	
cg18262830	MIR192	NR_029578	TSS200	chr11:64662462-64662880
cg18324824	GFRA1	NM_001145453;NM_005264;NM_145793	Body	chr10:117884813-117885029
cg18406801	LIMS1	NM_004987	Body	
cg18500177	C8orf34	NM_052958	Body	
cg18520925	C6orf222	NM_001010903	TSS1500	
cg18563987	SAP30BP	NM_013260	Body	
cg18586277	F2RL1	NM_005242	Body	chr5:76114562-76115044
cg18614510	CERK	NM_022766	3'UTR	chr22:47081750-47082045
cg18651026	COL11A2	NM_080679;NM_080681;NM_080680	Body	
cg18724037	GABRA5	NM_001165037;NM_000810	Body	chr15:27128249-27128935
cg18804667	PDE4D	NM_001165899;NM_006203;NM_001104631	Body	
cg18804667	PDE4D	NM_001165899;NM_006203;NM_001104631	TSS1500	
cg18845797	ADCY2	NM_020546	Body	
cg18856478	MPL	NM_005373	Body	chr1:43814305-43815277
cg18864804	ATRNL1	NM_207303	Body	
cg18900271	MALL	NM_005434	Body	
cg18901278	TMC8	NM_152468;NM_007267	Body	chr17:76127521-76128406
cg18901278	TMC6	NM_152468;NM_007267	TSS200	chr17:76127521-76128406
cg18950952	MALL	NM_005434	Body	chr2:110872945-110873587
cg18956547	CXCR1	NM_000634	TSS200	
cg18994606	ADD3	NM_016824;NM_001121;NM_019903	5'UTR	
cg19143336	GPD1L	NM_015141	Body	chr3:32147826-32148874
cg19304003	CAPN13	NM_144575	Body	
cg19311375	EPAS1	NM_001430	Body	
cg19313221	KDM4B	NM_015015	Body	chr19:5047451-5047830
cg19450119	C6orf208	NR_026780;NR_026781	Body	
cg19450119	C6orf122	NR_026780;NR_026781	TSS1500	
cg19534149	NOVA1	NM_002515;NM_006489	3'UTR	
cg19555988	ASPG	NM_001080464	Body	chr14:104552012-104552478
cg19598189	PKIA	NM_181839;NM_006823	Body	
cg19631651	CACNA2D3	NM_018398	Body	
cg19662611	NRXN3	NM_004796;NM_001105250;NM_138970	Body	
cg19670290	HDDC3	NM_198527;NM_001039675;NM_018671	TSS1500	chr15:91478117-91478983
cg19670290	UNC45A	NM_198527;NM_001039675;NM_018671	5'UTR	chr15:91478117-91478983
cg19670290	UNC45A	NM_198527;NM_001039675;NM_018671	TSS1500	chr15:91478117-91478983
cg19712979	HSD17B8	NM_014234	Body	chr6:33172289-33172823
cg19753609	NRXN3	NM_004796;NM_001105250;NM_138970	Body	chr14:80328014-80328331
cg19775269	PTPRS	NM_130853;NM_130855;NM_130854;NM_002850	5'UTR	chr19:5290403-5290605
cg19779057	SOX13	NM_005686	5'UTR	
cg19817165	DYRK2	NM_003583;NM_006482	TSS1500	chr12:68042166-68043876
cg19907725	S100A2	NM_005978	TSS1500	
cg19942977	DLG2	NM_001142702;NM_001142699;NM_001364;NM_001142700	TSS1500	
cg19942977	DLG2	NM_001142702;NM_001142699;NM_001364;NM_001142700	Body	
cg19958057	MET	NM_000245;NM_000245;NM_001127500;NM_001127500	1stExon	chr7:116311824-116312598
cg19958057	MET	NM_000245;NM_000245;NM_001127500;NM_001127500	5'UTR	chr7:116311824-116312598
cg19979896	RAET1E	NM_139165	TSS200	
cg20011360	C4orf19	NM_018302;NM_001104629	TSS200	
cg20011360	C4orf19	NM_018302;NM_001104629	5'UTR	
cg20025970	ABCC9	NM_005691;NM_020298;NM_020297	1stExon	
cg20051772	DGKA	NM_201445;NM_201554;NM_201444;NM_001345;NM_001345	TSS1500	chr12:56325774-56326223
cg20051772	DGKA	NM_201445;NM_201554;NM_201444;NM_001345;NM_001345	5'UTR	chr12:56325774-56326223
cg20051772	DGKA	NM_201445;NM_201554;NM_201444;NM_001345;NM_001345	1stExon	chr12:56325774-56326223
cg20061873	OCM	NM_001097622	TSS1500	
cg20169062	HSPB3	NM_006308	TSS200	
cg20278269	LRP5	NM_002335	Body	chr11:68080365-68080931
cg20283498	CDH23	NM_052836;NM_022124	Body	
cg20312390	ATP2B4	NM_001001396;NM_001684	5'UTR	
cg20318358	ASCL4	NM_203436	TSS1500	chr12:108168986-108169570
cg20340242	IL1R2	NM_004633;NM_004633	1stExon	
cg20340242	IL1R2	NM_004633;NM_004633	5'UTR	
cg20373326	HSD17B2	NM_002153	TSS200	
cg20416179	IYD	NM_203395;NM_001164694;NM_001164695;NM_203395;NM_001164694;NM_001164695	5'UTR	
cg20416179	IYD	NM_203395;NM_001164694;NM_001164695;NM_203395;NM_001164694;NM_001164695	1stExon	
cg20435485	FAM116B	NM_001001794	Body	
cg20438687	MINK1	NM_015716;NM_153827;NM_001024937;NM_170663	Body	
cg20504007	WDFY4	NM_020945	TSS1500	
cg20608990	CASP8	NM_001080124;NM_001228;NM_033355;NM_033358	TSS1500	
cg20678353	C15orf53	NM_207444	TSS1500	
cg20759486	MUC21	NM_001010909	TSS1500	
cg20762586	KRT16	NM_005557;NM_005557	1stExon	
cg20762586	KRT16	NM_005557;NM_005557	5'UTR	
cg20819482	TNKS	NM_003747	Body	
cg20875821	SERPINB2	NM_001143818;NM_002575	5'UTR	
cg20931972	CD38	NM_001775	3'UTR	
cg20932440	DIO1	NM_213593;NM_001039715;NM_000792;NM_001039716	TSS200	
cg21058822	MBOAT4	NM_001100916	TSS200	
cg21146652	DGKI	NM_004717	3'UTR	
cg21169762	STON2	NM_033104	Body	
cg21275920	OR2F1	NM_012369	TSS1500	
cg21298408	NAT1	NM_001160179	TSS200	
cg21367256	MYT1	NM_004535	TSS200	
cg21423404	KDM2B	NM_032590;NM_001005366	Body	chr12:121975028-121976140
cg21450723	LOC400931	NR_027033	Body	chr22:46481815-46482024
cg21490635	EMP1	NM_001423	TSS1500	
cg21491107	KIAA0182	NM_001134473;NM_014615	5'UTR	chr16:85644947-85649027
cg21491107	KIAA0182	NM_001134473;NM_014615	Body	chr16:85644947-85649027
cg21527708	LOC149620	NR_003928	TSS1500	
cg21570611	OR8U8	NM_001013356;NM_001004742	Body	
cg21570611	OR5M3	NM_001013356;NM_001004742	TSS1500	
cg21572719	CNR1	NM_016083;NM_001160259;NM_033181;NM_001160226;NM_001160260;NM_001160258	5'UTR	
cg21572719	CNR1	NM_016083;NM_001160259;NM_033181;NM_001160226;NM_001160260;NM_001160258	TSS200	
cg21578195	PTK6	NM_005975	TSS200	chr20:62168432-62168684
cg21594839	OC90	NM_001080399	TSS1500	
cg21615663	IQCK	NM_153208;NM_001012991	5'UTR	chr16:19729194-19729896
cg21615663	C16orf88	NM_153208;NM_001012991	5'UTR	chr16:19729194-19729896
cg21691367	MTHFD1L	NM_015440	Body	
cg21747271	AIP	NM_003977	TSS1500	chr11:67250344-67250864
cg21837826	FAM163A	NM_173509	5'UTR	chr1:179711947-179713951
cg21988972	AFF3	NM_002285	TSS1500	
cg22104103	C21orf34	NR_027790;NR_027791	Body	
cg22104103	C21orf34	NR_027790;NR_027791	TSS1500	
cg22155405	LOC284441	NR_003128	TSS200	
cg22164298	ANK2	NM_001148;NM_001127493;NM_020977	Body	
cg22228737	FAM190A	NM_001145065	Body	
cg22299097	MINA	NM_153182;NM_032778;NM_001042533	5'UTR	chr3:97690785-97691409
cg22303227	LOC90586	NR_002773	TSS200	
cg22413603	MIR141	NR_029682;NR_029779	TSS1500	
cg22413603	MIR200C	NR_029682;NR_029779	TSS200	
cg22438810	LCN2	NM_005564;NM_005564	1stExon	
cg22438810	LCN2	NM_005564;NM_005564	5'UTR	
cg22500132	MUC1	NM_001018016;NM_001044391;NM_001044393;NM_001044392;NM_001044390;NM_002456;NM_001018017	TSS200	chr1:155163434-155163818
cg22644321	TRIB1	NM_025195	Body	chr8:126441471-126443552
cg22667835	JAKMIP1	NM_144720;NM_001099433	Body	chr4:6107130-6107711
cg22878054	CNTN5	NM_014361;NM_175566	5'UTR	
cg22935317	JUB	NM_032876;NM_198086	Body	chr14:23449886-23452174
cg22935317	JUB	NM_032876;NM_198086	TSS1500	chr14:23449886-23452174
cg22989379	ACSS2	NR_028046	TSS200	chr20:33464156-33464645
cg23078228	MIR548A2	NR_030317	Body	
cg23193616	XRCC3	NM_001100118;NM_001100119;NM_005432	5'UTR	chr14:104181378-104182952
cg23193870	PTPN6	NM_080548	TSS200	chr12:7053149-7053927
cg23238677	LRP2	NM_004525	Body	
cg23253053	CUX2	NM_015267	Body	
cg23338195	SLC30A8	NM_173851	TSS1500	
cg23348723	C7orf16	NM_001145123;NM_006658	TSS1500	
cg23358740	C14orf72	NR_026774	Body	
cg23359363	ADAMTS12	NM_030955	Body	
cg23399286	OC90	NM_001080399	TSS1500	
cg23506979	ADAMTS7	NM_014272	Body	chr15:79092538-79092887
cg23599026	SEC31B	NM_015490	Body	
cg23732182	C21orf84	NR_026863	Body	
cg23759189	NTM	NM_001048209	Body	
cg23774016	OR10J3	NM_001004467	1stExon	
cg23793965	NECAB1	NM_022351	Body	
cg23817637	CLRN3	NM_152311	TSS1500	
cg23949611	APOB	NM_000384	Body	
cg23950788	C7orf16	NM_006658;NM_001145123	5'UTR	
cg24226238	GRIK4	NM_014619	TSS1500	
cg24299913	ARHGEF1	NM_004706;NM_199002;NM_198977	Body	chr19:42408315-42408535
cg24348240	UBXN11	NM_001077262;NM_145345;NM_183008	Body	
cg24360617	APOBEC3A	NM_145699	TSS200	
cg24377150	SKI	NM_003036	Body	
cg24381587	OR6N1	NM_001005185	1stExon	
cg24387129	OR13A1	NM_001004297	3'UTR	
cg24411972	C10orf93	NM_173572	Body	chr10:134755663-134756852
cg24425727	CDKN1A	NM_078467;NM_000389	TSS1500	chr6:36646244-36648465
cg24448013	GALE	NM_001127621;NM_001008216;NM_000403	TSS200	chr1:24126799-24127549
cg24448013	GALE	NM_001127621;NM_001008216;NM_000403	5'UTR	chr1:24126799-24127549
cg24550026	BCL2L15	NM_001010922;NM_001010922	1stExon	
cg24550026	BCL2L15	NM_001010922;NM_001010922	5'UTR	
cg24576260	SCNN1D	NM_002978;NM_001130413;NM_002978	5'UTR	
cg24576260	SCNN1D	NM_002978;NM_001130413;NM_002978	1stExon	
cg24704593	MACC1	NM_182762	TSS200	
cg24716152	PPARGC1A	NM_013261	Body	
cg24749089	FMNL2	NM_052905	Body	
cg24900654	KCNN4	NM_002250	TSS200	
cg24911837	CCT6P1	NR_003110	Body	chr7:65229370-65229748
cg24916358	FAM53B	NM_014661	Body	
cg24939194	LFNG	NM_001166355;NM_001040167;NM_001040168;NM_002304	Body	chr7:2563610-2564056
cg24970620	SLC7A7	NM_001126106	TSS1500	chr14:23291078-23291337
cg24974611	SEC16B	NM_033127	TSS200	
cg24982682	ZMIZ1	NM_020338	5'UTR	
cg24988684	TMC8	NM_152468;NM_007267	Body	chr17:76127521-76128406
cg24988684	TMC6	NM_152468;NM_007267	TSS200	chr17:76127521-76128406
cg25204094	ANP32B	NM_006401	Body	chr9:100744982-100747768
cg25214914	RXFP4	NM_181885	TSS1500	
cg25246246	ARHGAP27	NM_199282	TSS200	chr17:43506828-43510380
cg25249068	BFSP2	NM_003571	1stExon	
cg25281584	AGBL4	NM_032785	Body	
cg25310700	ASB13	NR_024581;NM_024701	Body	
cg25318211	MICAL1	NM_022765;NM_001159291	TSS1500	chr6:109776194-109777645
cg25327343	MAL2	NM_052886	Body	chr8:120220388-120221222
cg25391692	MTTP	NM_000253	5'UTR	
cg25507121	SCN4A	NM_000334	TSS1500	
cg25564800	KPNA1	NM_002264;NR_026698	TSS1500	chr3:122233408-122233944
cg25580198	GPIHBP1	NM_178172	TSS200	
cg25626375	OC90	NM_001080399	TSS1500	
cg25737218	ARID3A	NM_005224	Body	chr19:940723-942490
cg25857569	PPM1L	NM_139245	Body	
cg25858249	PLEKHG1	NM_001029884	TSS1500	chr6:150920904-150922146
cg26037504	RDH5	NM_002905	TSS1500	chr12:56109798-56110298
cg26129110	ADCY2	NM_020546	Body	
cg26165146	ARNTL2	NM_020183	TSS1500	chr12:27485683-27486676
cg26196424	C14orf37	NM_001001872	5'UTR	chr14:58618291-58619220
cg26215406	MCF2L2	NM_015078;NM_032047	Body	chr3:182971429-182972635
cg26215406	B3GNT5	NM_015078;NM_032047	5'UTR	chr3:182971429-182972635
cg26329192	CMKLR1	NM_001142345;NM_001142343;NM_004072;NM_001142344	5'UTR	
cg26366616	PDLIM2	NM_021630;NM_198042;NM_176871	Body	chr8:22436295-22437076
cg26377677	FURIN	NM_002569	5'UTR	chr15:91414311-91415427
cg26388707	OCA2	NM_000275	3'UTR	
cg26479028	HSD17B2	NM_002153	TSS200	
cg26501046	DIRC3	NR_026597	Body	
cg26560769	ASTN1	NM_207108;NM_004319	Body	
cg26601073	TLCD2	NM_001164407	TSS1500	chr17:1613226-1614110
cg26648185	TIAM1	NM_003253	5'UTR	chr21:32929927-32932017
cg26681383	CACNA2D3	NM_018398	Body	
cg26689077	ITGB7	NM_000889	5'UTR	
cg26929280	FAT3	NM_001008781	Body	
cg26949055	RYR3	NM_001036	Body	
cg26960083	EPHA1	NM_005232	TSS1500	
cg27005847	SLC44A4	NM_025257	Body	
cg27053337	FAM83A	NM_032899;NM_207006	Body	chr8:124219411-124219809
cg27219182	SLC39A11	NM_001159770;NM_139177	Body	
cg27389806	TMEM74	NM_153015	5'UTR	chr8:109799429-109799847
cg27449114	DUSP28	NM_001033575	3'UTR	chr2:241499582-241500785
cg27504738	TMBIM4	NM_016056	TSS1500	chr12:66563202-66563945
cg00021978	DPYS	NM_001385	Body	chr8:105478672-105479340
cg00050692	DNMT3A	NM_022552;NM_175630;NM_175629	Body	
cg00061185	LIMA1	NM_001113546;NM_016357;NM_001113547	Body	
cg00069391	SDK1	NM_152744	Body	
cg00084184	SLC2A9	NM_020041;NM_001001290	Body	chr4:10020481-10021026
cg00115458	COL11A2	NM_080679;NM_080681;NM_080680	Body	
cg00118158	AFF3	NM_001025108;NM_002285	Body	
cg00127781	CACNA2D2	NM_001005505;NM_006030	Body	
cg00163546	BRUNOL4	NM_001025088;NM_020180;NM_001025089;NM_001025087	Body	chr18:34973989-34974464
cg00174508	BTBD11	NM_001018072	Body	
cg00193668	HINT2	NM_032593	Body	chr9:35814649-35815119
cg00213295	TMEM132E	NM_207313	Body	
cg00252594	ANKRD9	NM_152326	5'UTR	chr14:102973317-102976666
cg00270764	IL27	NM_145659	Body	chr16:28509237-28509509
cg00294267	ZNF423	NM_015069	Body	
cg00310940	SLC2A5	NM_003039;NM_001135585;NM_003039;NM_001135585;NR_024180	5'UTR	chr1:9131602-9131909
cg00310940	SLC2A5	NM_003039;NM_001135585;NM_003039;NM_001135585;NR_024180	1stExon	chr1:9131602-9131909
cg00310940	SLC2A5	NM_003039;NM_001135585;NM_003039;NM_001135585;NR_024180	Body	chr1:9131602-9131909
cg00311768	TSTA3	NM_003313	Body	chr8:144699233-144700481
cg00316341	CUBN	NM_001081	Body	
cg00325381	PTPRM	NM_002845;NM_001105244	Body	chr18:8367273-8367599
cg00339695	SLC5A11	NM_052944	TSS200	
cg00350478	FRMD1	NM_024919	TSS200	chr6:168479566-168479809
cg00391031	KIAA1274	NM_014431	TSS1500	chr10:72237661-72238821
cg00400165	MIR192	NR_029578;NR_029829	TSS1500	chr11:64662462-64662880
cg00400165	MIR194-2	NR_029578;NR_029829	TSS200	chr11:64662462-64662880
cg00404923	STOX2	NM_020225	Body	
cg00406211	GRK5	NM_005308	Body	
cg00411097	TMEM184A	NM_001097620;NM_001097620	1stExon	
cg00411097	TMEM184A	NM_001097620;NM_001097620	5'UTR	
cg00460589	PHACTR1	NM_030948	Body	
cg00490406	AIM2	NM_004833	TSS200	
cg00491404	EPS8L3	NM_139053;NM_024526;NM_133181	TSS200	
cg00496026	LZTS2	NM_032429	Body	chr10:102766321-102766693
cg00519884	ENPP6	NM_153343	Body	chr4:185018390-185018721
cg00550617	KRTAP9-9	NM_030975;NM_033191	Body	
cg00550617	KRTAP9-4	NM_030975;NM_033191	TSS200	
cg00587342	PMM1	NM_002676	Body	chr22:41985525-41986045
cg00636769	GNASAS	NR_002785	Body	
cg00660272	CNR2	NM_001841	5'UTR	chr1:24229115-24229537
cg00664609	RAB26	NM_014353	TSS1500	chr16:2198455-2199129
cg00673191	DOPEY2	NM_005128	5'UTR	
cg00720829	TRIM15	NM_033229;NM_033229	5'UTR	
cg00720829	TRIM15	NM_033229;NM_033229	1stExon	
cg00736201	WSCD2	NM_014653	3'UTR	
cg00753442	LOC285780	NR_026970	Body	
cg00763743	DGKI	NM_004717	Body	
cg00791548	CAPN13	NM_144575	Body	
cg00792015	DIRC3	NR_026597	Body	
cg00798876	TTYH3	NM_025250	TSS1500	chr7:2671156-2671937
cg00817885	SERPINA7	NM_000354	TSS1500	
cg00818106	PWWP2B	NM_138499;NM_001098637	3'UTR	chr10:134218268-134219615
cg00818106	PWWP2B	NM_138499;NM_001098637	Body	chr10:134218268-134219615
cg00825734	SCNN1D	NM_001130413;NM_002978;NM_001130413	5'UTR	
cg00825734	SCNN1D	NM_001130413;NM_002978;NM_001130413	TSS200	
cg00825734	SCNN1D	NM_001130413;NM_002978;NM_001130413	1stExon	
cg00827318	FXYD4	NM_173160	TSS200	
cg00855466	ALDH3A1	NM_000691	TSS1500	chr17:19648139-19648492
cg00864661	MAPK10	NM_002753	5'UTR	
cg00873953	TMCC3	NM_020698	Body	
cg00911776	FLJ43663	NR_015431;NR_024153	Body	
cg00927226	TFEC	NM_012252;NM_001018058	Body	
cg00947878	KIFC3	NM_001130099;NM_005550;NM_001130100	TSS200	chr16:57835955-57836989
cg00947878	KIFC3	NM_001130099;NM_005550;NM_001130100	Body	chr16:57835955-57836989
cg00965643	DCDC2B	NM_001099434	1stExon	chr1:32670569-32671885
cg01026796	DHX29	NM_019030;NM_015360	Body	chr5:54603209-54603904
cg01026796	SKIV2L2	NM_019030;NM_015360	TSS1500	chr5:54603209-54603904
cg01119135	C1orf116	NM_023938;NM_001083924	5'UTR	
cg01119512	GRHL3	NM_198173	Body	chr1:24648202-24648985
cg01140244	INPP5A	NM_005539	Body	
cg01140247	C10orf11	NM_032024	Body	
cg01154283	CRIM1	NM_016441	Body	
cg01180167	DLG2	NM_001142699;NM_001364	Body	
cg01181150	DPP6	NM_001936;NM_130797;NM_001039350	Body	
cg01204982	SLCO2B1	NM_001145211;NM_007256;NM_001145212	TSS200	
cg01204982	SLCO2B1	NM_001145211;NM_007256;NM_001145212	Body	
cg01218690	AR	NM_001011645;NM_000044	TSS1500	
cg01218690	AR	NM_001011645;NM_000044	Body	
cg01229506	FAM170A	NM_182761;NM_001163991	TSS200	
cg01233744	PATE2	NM_212555	Body	
cg01236299	GAS7	NM_201432;NM_003644;NM_001130831;NM_201433	3'UTR	
cg01261194	PRDM16	NM_022114;NM_199454	Body	chr1:3342012-3342806
cg01306183	SLC22A10	NM_001039752;NM_001039752	5'UTR	
cg01306183	SLC22A10	NM_001039752;NM_001039752	1stExon	
cg01311313	UNC5D	NM_080872	Body	
cg01313363	PLXNB1	NM_002673;NM_001130082	TSS1500	chr3:48470230-48471389
cg01347702	SLC44A4	NM_025257	Body	
cg01357233	LRRC18	NM_001006939;NM_020945	TSS1500	
cg01357233	WDFY4	NM_001006939;NM_020945	Body	
cg01368068	MAGI2	NM_012301	Body	
cg01384111	GREB1	NM_148903;NM_014668	TSS1500	
cg01384111	GREB1	NM_148903;NM_014668	5'UTR	
cg01420564	OSBPL6	NM_032523	5'UTR	
cg01431057	S100A8	NM_002964	Body	
cg01454519	CST5	NM_001900	1stExon	
cg01458105	STK32C	NM_173575	Body	chr10:134041499-134041784
cg01458495	ZNF589	NM_016089	3'UTR	
cg01471372	TACC1	NM_001146216	5'UTR	
cg01477971	TMEM182	NM_144632	Body	
cg01502872	HSD17B8	NM_014234	Body	chr6:33172289-33172823
cg01546873	PRDM6	NM_001136239	3'UTR	
cg01548965	RELT	NM_152222;NM_032871	5'UTR	chr11:73087229-73088294
cg01559259	CHST1	NM_003654	TSS1500	chr11:45686160-45687495
cg01618102	BAI3	NM_001704	Body	
cg01722861	PLEKHA7	NM_175058	Body	chr11:16946392-16947398
cg01726287	COX8C	NM_182971;NM_020818	TSS1500	chr14:93813483-93814111
cg01726287	KIAA1409	NM_182971;NM_020818	5'UTR	chr14:93813483-93814111
cg01731783	C14orf43	NM_001043318;NM_194278	5'UTR	
cg01745499	HMGA1	NM_145903;NM_145899;NM_002131;NM_145901;NM_145902;NM_145905	5'UTR	chr6:34202567-34206193
cg01745499	HMGA1	NM_145903;NM_145899;NM_002131;NM_145901;NM_145902;NM_145905	TSS1500	chr6:34202567-34206193
cg01748263	ATP13A5	NM_198505	TSS1500	
cg01759112	WSCD1	NM_015253	5'UTR	
cg01765174	TRIM14	NM_014788;NM_033220;NM_033219;NM_033221	Body	chr9:100881098-100881660
cg01772439	FLJ41603	NM_001001669	3'UTR	
cg01807825	GK2	NM_033214;NM_033214	1stExon	
cg01807825	GK2	NM_033214;NM_033214	5'UTR	
cg01811815	RASA3	NM_007368	Body	chr13:114879041-114879530
cg01819912	TBCE	NM_001079515;NM_003193	Body	
cg01855070	TRAK1	NM_014965;NM_001042646	TSS1500	
cg01855070	TRAK1	NM_014965;NM_001042646	Body	
cg01875106	OPCML	NM_002545;NM_001012393	3'UTR	
cg01877606	LNX1	NM_001126328	TSS200	
cg01881322	LRRC1	NM_018214	Body	chr6:53659254-53660972
cg01941619	MEP1B	NM_005925	1stExon	
cg01966277	PCLO	NM_033026	Body	
cg01970322	HSD17B8	NM_014234	Body	chr6:33172289-33172823
cg01972009	PITPNM1	NM_004910;NM_001130848	TSS1500	chr11:67275067-67276431
cg01976810	NXN	NM_022463	Body	
cg01977473	GRAMD3	NM_001146321;NM_001146320;NM_001146322;NM_001146319;NM_023927	Body	
cg01977473	GRAMD3	NM_001146321;NM_001146320;NM_001146322;NM_001146319;NM_023927	5'UTR	
cg01991934	ITPK1	NM_001142593;NM_014216;NM_001142594	Body	
cg01995815	CLSTN2	NM_022131	Body	
cg02068361	KRT6B	NM_005555	TSS200	
cg02069524	ADARB2	NM_018702	Body	chr10:1230813-1231214
cg02085119	MAL2	NM_052886	TSS1500	chr8:120220388-120221222
cg02088996	LOC285954	NR_027118	Body	
cg02130107	C16orf53	NM_024516	Body	chr16:29826662-29828302
cg02131853	TMEM156	NM_024943	TSS1500	
cg02134022	CMYA5	NM_153610	Body	
cg02146412	DLG2	NM_001142699;NM_001364;NM_001142700	Body	
cg02154084	PPP2R2B	NM_181674;NM_001127381;NM_181677;NM_181676;NM_181675;NM_004576;NM_181678	Body	
cg02179764	MPST	NM_001013436;NR_024038;NM_001130517;NM_021126	5'UTR	chr22:37420225-37420900
cg02179764	MPST	NM_001013436;NR_024038;NM_001130517;NM_021126	Body	chr22:37420225-37420900
cg02208270	SPERT	NM_152719	Body	chr13:46287282-46288214
cg02258482	COG7	NM_153603	Body	
cg02278841	C15orf53	NM_207444	1stExon	
cg02289040	SEC16B	NM_033127	TSS1500	
cg02307277	IYD	NM_203395;NM_001164694;NM_001164695;NM_203395;NM_001164694;NM_001164695	5'UTR	
cg02307277	IYD	NM_203395;NM_001164694;NM_001164695;NM_203395;NM_001164694;NM_001164695	1stExon	
cg02313013	TMCC3	NM_020698	Body	
cg02362508	NRSN1	NM_080723	5'UTR	chr6:24126309-24126512
cg02371376	PSTPIP1	NM_003978	Body	
cg02382532	C6orf132	NM_001164446	TSS200	chr6:42109904-42110361
cg02413874	LOC100134368	NR_024453	Body	chr16:431189-432810
cg02415992	GRIN2A	NM_001134407;NM_000833;NM_001134408	Body	
cg02423618	SPATA8	NM_173499	TSS1500	
cg02478828	DGUOK	NM_080916;NM_080918	TSS1500	chr2:74153853-74154281
cg02499614	PCDH1	NM_032420;NM_002587	Body	
cg02500883	GRIN3A	NM_133445;NM_147180;NM_147180	Body	chr9:104357007-104357288
cg02500883	PPP3R2	NM_133445;NM_147180;NM_147180	1stExon	chr9:104357007-104357288
cg02500883	PPP3R2	NM_133445;NM_147180;NM_147180	3'UTR	chr9:104357007-104357288
cg02523824	CUGBP2	NM_001025076;NM_006561;NM_001025077;NM_001083591	Body	
cg02550950	HECW2	NM_020760	Body	
cg02557652	ABHD2	NM_152924;NM_007011	3'UTR	
cg02561343	UST	NM_005715	Body	
cg02571142	DKK4	NM_014420	TSS200	
cg02572796	SORBS2	NM_003603;NM_021069;NM_001145670;NM_001145671;NM_001145671;NM_001145672	5'UTR	
cg02572796	SORBS2	NM_003603;NM_021069;NM_001145670;NM_001145671;NM_001145671;NM_001145672	1stExon	
cg02572796	SORBS2	NM_003603;NM_021069;NM_001145670;NM_001145671;NM_001145671;NM_001145672	TSS200	
cg02632314	ELF1	NM_172373;NM_172373	5'UTR	
cg02632314	ELF1	NM_172373;NM_172373	1stExon	
cg02639366	EIF2C4	NM_017629	Body	chr1:36273499-36274461
cg02641539	TM7SF4	NM_030788	TSS1500	
cg02697979	ABTB2	NM_145804	Body	
cg02704949	FXYD3	NM_005971;NM_001136010;NM_001136007;NM_001136011;NM_021910;NM_001136008;NM_001136009;NM_001136012	5'UTR	
cg02716317	SDK1	NM_152744	Body	
cg02749784	MAL2	NM_052886	TSS1500	chr8:120220388-120221222
cg02752037	TICAM1	NM_182919	5'UTR	chr19:4831433-4831892
cg02759725	OC90	NM_001080399	TSS1500	
cg02771673	PCCA	NM_001127692;NM_000282	Body	
cg02785332	ROR2	NM_004560	Body	chr9:94648653-94648964
