Name	UCSC_RefGene_Name	UCSC_RefGene_Accession	UCSC_RefGene_Group	UCSC_CpG_Islands_Name
cg02056653	PCDHGA7	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGB2	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGC5	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGB5	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02137183	AGK	NM_018238	TSS1500	chr7:141251013-141251472
cg02213663	DLG5	NM_004747	Body	
cg02244431	AGAP1	NM_014914;NM_001037131	Body	
cg02245794	TACC1	NM_001146216;NM_001146216	1stExon	
cg02245794	TACC1	NM_001146216;NM_001146216	5'UTR	
cg02281167	TRIM15	NM_033229	Body	chr6:30139718-30140263
cg02320862	SEPT9	NM_001113492;NM_001113493;NM_001113491;NM_006640	5'UTR	chr17:75368688-75370506
cg02320862	SEPT9	NM_001113492;NM_001113493;NM_001113491;NM_006640	Body	chr17:75368688-75370506
cg02336762	KSR2	NM_173598	Body	
cg02556634	PPP2R2C	NM_020416	Body	
cg02573873	CMIP	NM_198390	Body	
cg02614549	AFAP1	NM_198595;NM_001134647	Body	
cg02657611	TESK2	NM_007170	Body	
cg02739280	NAV2	NM_182964;NM_001111018;NM_145117;NM_001111019	Body	
cg02836478	HOXB3	NM_002146	TSS1500	chr17:46654053-46654369
cg02857325	MTHFSD	NM_001159380;NM_001159379;NM_001159377;NR_027490;NM_001159378;NR_027489;NM_022764	3'UTR	chr16:86565357-86565861
cg02857325	MTHFSD	NM_001159380;NM_001159379;NM_001159377;NR_027490;NM_001159378;NR_027489;NM_022764	Body	chr16:86565357-86565861
cg02936049	ZBTB38	NM_001080412	5'UTR	
cg03018679	CIT	NM_007174	Body	chr12:120241921-120242233
cg03025825	SMG6	NM_017575;NM_001170957	Body	
cg03054277	OBSCN	NM_052843;NM_001098623	Body	chr1:228399471-228402037
cg03063658	SH3RF3	NM_001099289	Body	
cg03131767	ABCB9	NM_203444;NM_019624;NM_019625	5'UTR	chr12:123444211-123444565
cg03138928	EPHX1	NM_001136018	5'UTR	
cg03143486	HEATR2	NM_017802	Body	chr7:813627-814392
cg03187301	MCRS1	NM_006337;NM_001012300	Body	chr12:49961630-49962219
cg03348397	RGS20	NM_170587	Body	chr8:54789581-54790665
cg03402235	ZFP106	NM_022473	1stExon	
cg03440588	FOXD2	NM_004474;NR_026878	TSS1500	chr1:47899661-47900385
cg03440588	MGC12982	NM_004474;NR_026878	TSS200	chr1:47899661-47900385
cg03475285	RGS20	NM_170587	Body	chr8:54789581-54790665
cg03598457	GTF3C1	NM_001520	Body	
cg03605666	NFIC	NM_005597;NM_205843	Body	chr19:3381525-3382275
cg03622664	XPO4	NM_022459	Body	
cg03625953	SMG6	NM_017575;NM_001170957	Body	
cg03640071	JAM3	NM_032801	3'UTR	
cg03665078	TNFAIP8	NM_001077654	Body	chr5:118691401-118691759
cg03668763	ZNF143	NM_003442	3'UTR	
cg03683087	TCF7L2	NM_001146284;NM_001146285;NM_030756;NM_001146274;NM_001146286;NM_001146283	Body	
cg03766449	LOC254559	NR_015411	TSS1500	chr15:89920793-89922768
cg03854238	FLJ22536	NR_015410	Body	
cg04195548	CTBP1	NM_001012614;NM_001328	3'UTR	chr4:1205817-1206203
cg04212021	MGAT1	NM_001114618;NM_001114620;NM_002406;NM_001114617;NM_001114619	5'UTR	chr5:180229375-180230147
cg04212021	MGAT1	NM_001114618;NM_001114620;NM_002406;NM_001114617;NM_001114619	TSS200	chr5:180229375-180230147
cg04212021	MGAT1	NM_001114618;NM_001114620;NM_002406;NM_001114617;NM_001114619	TSS1500	chr5:180229375-180230147
cg04242898	CYB5R3	NM_007326;NM_000398;NM_001129819	TSS200	chr22:43045009-43045679
cg04242898	CYB5R3	NM_007326;NM_000398;NM_001129819	Body	chr22:43045009-43045679
cg04527018	CHST13	NM_152889	Body	chr3:126260488-126261356
cg04600027	LOC254559	NR_015411	Body	chr15:89920793-89922768
cg04673465	CDS1	NM_001263	3'UTR	
cg04677410	MAML2	NM_032427	Body	
cg04798684	PRPSAP1	NM_002766	Body	
cg04831327	RBM19	NM_001146698;NM_001146699;NM_016196	Body	
cg04839207	SERTAD4	NM_019605	5'UTR	chr1:210405952-210407250
cg04912712	FOXN3	NM_005197;NM_001085471	Body	
cg04926193	DIP2C	NM_014974	Body	
cg04955246	PRKCA	NM_002737	Body	
cg05235171	TMPRSS4	NM_001083947;NM_019894	Body	
cg05262829	ITPKB	NM_002221	Body	chr1:226924560-226926553
cg05395187	NCOR2	NM_006312;NM_001077261	Body	chr12:124911243-124911464
cg05439368	TRIM69	NM_080745;NM_182985	TSS1500	
cg05517697	RNF44	NM_014901	3'UTR	
cg05551825	RNF216	NM_207111;NM_207116	Body	
cg05696153	CMIP	NM_030629;NM_198390	Body	
cg05722906	CYP4F12	NM_023944	TSS200	
cg05749728	CTBP2	NM_001083914;NM_001329	5'UTR	
cg05825400	ABR	NM_021962;NM_001092;NM_001159746	Body	chr17:981508-981748
cg05917419	ZNF608	NM_020747	Body	
cg05922610	NR2E1	NM_003269	Body	chr6:108495654-108495986
cg06060135	IRX1	NM_024337	Body	chr5:3594467-3603054
cg06061257	SDK2	NM_001144952	Body	
cg06098530	MYST4	NM_012330	Body	
cg06185532	ZFHX3	NM_006885;NM_001164766	Body	
cg06185532	ZFHX3	NM_006885;NM_001164766	5'UTR	
cg06270615	STAT3	NM_139276;NM_003150;NM_213662	5'UTR	
cg06271087	MAGI1	NM_001033057;NM_015520	Body	chr3:65342203-65342884
cg06271087	MAGI1	NM_001033057;NM_015520	3'UTR	chr3:65342203-65342884
cg06351796	ATXN1	NM_001128164;NM_000332	5'UTR	
cg06457011	PLCG1	NM_002660;NM_182811	Body	chr20:39765229-39766832
cg06534752	C20orf117	NM_080627;NM_199181	Body	chr20:35443916-35444587
cg06698795	CHST13	NM_152889	Body	chr3:126260488-126261356
cg06750897	PBX1	NM_002585	Body	chr1:164545540-164545917
cg06759993	PHACTR2	NM_001100164;NM_001100166;NM_014721;NM_001100165	Body	
cg06848487	ABLIM1	NM_001003408;NM_001003407;NM_002313	Body	
cg06876053	SBF2	NM_030962	Body	
cg06912792	CDC42	NM_001039802;NM_044472;NM_001791	Body	
cg06912792	CDC42	NM_001039802;NM_044472;NM_001791	3'UTR	
cg06922393	CLPB	NM_030813	Body	
cg07006718	MBP	NM_001025100;NM_001025101	Body	chr18:74770351-74770590
cg07159230	CASZ1	NM_017766;NM_001079843	Body	
cg07168232	LAMB3	NM_001017402;NM_001127641;NM_000228	Body	
cg07249730	MSI2	NM_138962;NM_170721	Body	
cg07296256	ATP11A	NM_015205;NM_032189	Body	chr13:113440233-113441057
cg07450210	UBAC2	NM_001144072;NM_177967;NR_026644	Body	
cg07486252	ANK2	NM_001148;NM_001127493;NM_020977	Body	
cg07512361	SH2B2	NM_020979	Body	chr7:101943785-101944557
cg07572927	RNASE4	NM_194431;NM_001097577;NM_001145;NM_002937	TSS1500	chr14:21152483-21152740
cg07572927	ANG	NM_194431;NM_001097577;NM_001145;NM_002937	TSS1500	chr14:21152483-21152740
cg07572927	ANG	NM_194431;NM_001097577;NM_001145;NM_002937	5'UTR	chr14:21152483-21152740
cg07572927	RNASE4	NM_194431;NM_001097577;NM_001145;NM_002937	5'UTR	chr14:21152483-21152740
cg07573020	ANKH	NM_054027	3'UTR	
cg07583490	BRD4	NM_014299;NM_058243	Body	
cg07671622	VAC14	NM_018052	Body	
cg07714812	GMDS	NM_001500	Body	
cg07888912	KANK2	NM_001136191;NM_015493	5'UTR	chr19:11307495-11308276
cg07888912	KANK2	NM_001136191;NM_015493	TSS1500	chr19:11307495-11308276
cg07890238	PRAGMIN	NM_001080826	Body	
cg07963705	ITGB1	NM_033668;NM_133376;NM_002211;NM_033667;NM_033669;NM_033666	Body	
cg08016336	APBB2	NM_004307;NM_173075;NM_001166050	5'UTR	
cg08156867	CREBBP	NM_001079846;NM_004380	Body	
cg08264906	EPHB2	NM_004442;NM_017449	Body	
cg08292104	ACTN1	NM_001130004;NM_001102;NM_001130005	Body	
cg08361180	FBXW4	NM_022039	Body	
cg08638320	FOXD2	NM_004474;NR_026878	TSS1500	chr1:47899661-47900385
cg08638320	MGC12982	NM_004474;NR_026878	Body	chr1:47899661-47900385
cg08686960	COX7A1	NM_001864	Body	chr19:36642327-36643585
cg09025210	ZBTB38	NM_001080412	5'UTR	
cg09069446	CORO7	NM_024535	Body	chr16:4465874-4466889
cg09109520	GPR56	NM_001145773;NM_001145774;NM_005682;NM_001145771;NM_201525;NM_001145774;NM_201524;NM_001145772;NM_001145770	5'UTR	
cg09109520	GPR56	NM_001145773;NM_001145774;NM_005682;NM_001145771;NM_201525;NM_001145774;NM_201524;NM_001145772;NM_001145770	1stExon	
cg09143713	PLCB4	NM_182797;NM_000933	5'UTR	
cg09169455	MYO10	NM_012334	Body	
cg09173325	SPRYD3	NM_032840	3'UTR	
cg09182455	CORO1C	NM_014325	5'UTR	
cg09232937	IRX1	NM_024337	TSS200	chr5:3594467-3603054
cg09313931	ZC3H12D	NM_207360	5'UTR	
cg09317554	LRBA	NM_006726;NM_006439	Body	chr4:151504011-151505085
cg09317554	MAB21L2	NM_006726;NM_006439	1stExon	chr4:151504011-151505085
cg09374353	EHD1	NM_006795	3'UTR	chr11:64621207-64622246
cg09437479	WWOX	NM_016373	Body	
cg09519218	FAM53B	NM_014661	Body	
cg09802688	TRAF3IP3	NM_025228	Body	
cg09994323	FOXN2	NM_002158	Body	
cg10018167	SYNE2	NM_182914;NM_015180	Body	
cg10255761	KLHDC8B	NM_173546	5'UTR	chr3:49208629-49209196
cg10298741	ZFHX3	NM_006885;NM_001164766	5'UTR	
cg10659805	DLX6AS	NR_015448	Body	chr7:96631383-96631800
cg10746447	MAML2	NM_032427	Body	
cg10831285	B3GNT3	NM_014256	Body	chr19:17918737-17919098
cg10881128	PTPRF	NM_002840;NM_130440	Body	chr1:44031286-44031853
cg10975897	JARID2	NM_004973	Body	
cg11020333	GNA12	NM_007353	Body	
cg11071682	SERTAD4	NM_019605	5'UTR	chr1:210405952-210407250
cg11080552	RERE	NM_012102;NM_001042681	Body	
cg11186344	IFFO2	NM_001136265	Body	
cg11285912	CTBP2	NM_001329;NM_022802;NM_001083914	Body	chr10:126712013-126712231
cg11288686	TMTC1	NM_175861	Body	
cg11308319	HDAC4	NM_006037	5'UTR	
cg11355029	MLLT1	NM_005934	Body	chr19:6279483-6280231
cg11650460	RAB35	NM_006861;NM_001167606	Body	chr12:120536640-120536951
cg11962640	CAPZB	NM_004930	Body	
cg12265623	NXPH1	NM_152745	Body	chr7:8481974-8482762
cg12361088	NAV2	NM_001111018	Body	
cg12409074	PRDM10	NM_199437;NM_020228	5'UTR	chr11:129871690-129873423
cg12427162	SFT2D2	NM_199344	Body	chr1:168194945-168195839
cg12536028	KLKB1	NM_000892;NM_000892	1stExon	
cg12536028	KLKB1	NM_000892;NM_000892	5'UTR	
cg12548824	MTUS1	NM_001001931;NM_001001925;NM_001166393;NM_001001924;NM_020749;NM_020749	Body	
cg12548824	MTUS1	NM_001001931;NM_001001925;NM_001166393;NM_001001924;NM_020749;NM_020749	1stExon	
cg12548824	MTUS1	NM_001001931;NM_001001925;NM_001166393;NM_001001924;NM_020749;NM_020749	5'UTR	
cg12609829	C15orf53	NM_207444	TSS200	
cg12805374	FMNL1	NM_005892	Body	
cg12893030	CHST3	NM_004273	3'UTR	chr10:73767156-73768379
cg13116789	SH2B3	NM_005475	Body	
cg13170891	PPP1R10	NM_002714	3'UTR	
cg13184448	LRRFIP1	NM_001137553;NM_004735;NM_001137550;NM_001137552;NM_001137551	Body	chr2:238643905-238644109
cg13321661	INADL	NM_176877	Body	
cg13482308	PAX5	NM_016734	Body	chr9:37002489-37002957
cg13492337	PXDNL	NM_144651	TSS200	
cg13611006	SP2	NM_003110	Body	
cg13634681	TLN2	NM_015059	Body	
cg13646005	MUM1	NR_024247;NM_032853	TSS200	chr19:1354420-1355350
cg13646005	MUM1	NR_024247;NM_032853	5'UTR	chr19:1354420-1355350
cg13655250	RAPGEF1	NM_198679;NM_005312	Body	
cg13682735	TMCC1	NM_015008;NM_001017395;NM_001128224	TSS200	
cg13682735	TMCC1	NM_015008;NM_001017395;NM_001128224	Body	
cg13702181	GSTZ1	NM_145871;NM_001513;NM_145870	Body	chr14:77786690-77787794
cg13702181	GSTZ1	NM_145871;NM_001513;NM_145870	5'UTR	chr14:77786690-77787794
cg13709496	TBC1D2	NM_018421	Body	
cg13721644	PTPN23	NM_015466	Body	
cg13725172	ARMC2	NM_032131	Body	
cg13999330	CHST12	NM_018641	Body	chr7:2472245-2473567
cg14039237	SLC25A25	NM_001006641	Body	chr9:130829535-130830949
cg14080475	AKNA	NM_030767	5'UTR	
cg14115756	GPR21	NM_005294;NM_012197	TSS1500	
cg14115756	RABGAP1	NM_005294;NM_012197	Body	
cg14146966	XPO1	NM_003400	Body	
cg14170597	PEX14	NM_004565	Body	
cg14181956	ITPK1	NM_001142593;NM_014216;NM_001142594;NR_002808	Body	
cg14181956	NCRNA00203	NM_001142593;NM_014216;NM_001142594;NR_002808	TSS1500	
cg14204559	POR	NM_000941	Body	
cg14215711	PIP4K2A	NM_005028	Body	
cg14220777	TMCO4	NM_181719	Body	
cg14242895	MLL	NM_005933	3'UTR	
cg14286456	RERE	NM_012102;NM_001042681	Body	
cg14385362	NEK6	NM_001166169;NM_001145001;NM_001166170;NM_001166171;NM_014397;NM_001166167;NM_001166168	TSS1500	
cg14385362	NEK6	NM_001166169;NM_001145001;NM_001166170;NM_001166171;NM_014397;NM_001166167;NM_001166168	5'UTR	
cg14385362	NEK6	NM_001166169;NM_001145001;NM_001166170;NM_001166171;NM_014397;NM_001166167;NM_001166168	TSS200	
cg14385362	NEK6	NM_001166169;NM_001145001;NM_001166170;NM_001166171;NM_014397;NM_001166167;NM_001166168	Body	
cg14485643	RAPGEF1	NM_198679;NM_005312	Body	
cg14485744	EXT1	NM_000127	Body	
cg14514716	TANC1	NM_001145909;NM_033394	5'UTR	
cg14653284	GREB1	NM_014668;NM_148903	5'UTR	
cg14653284	GREB1	NM_014668;NM_148903	TSS200	
cg14669515	SPSB1	NM_025106	5'UTR	
cg14742809	ZSWIM6	NM_020928	Body	chr5:60626505-60629809
cg14780632	GAL3ST3	NM_033036;NM_033036	5'UTR	chr11:65816404-65816665
cg14780632	GAL3ST3	NM_033036;NM_033036	1stExon	chr11:65816404-65816665
cg14841828	BCL11B	NM_022898;NM_138576	Body	
cg14939082	C10orf26	NM_017787;NM_001083913;NM_017787	5'UTR	
cg14939082	C10orf26	NM_017787;NM_001083913;NM_017787	Body	
cg14939082	C10orf26	NM_017787;NM_001083913;NM_017787	1stExon	
cg14953379	AGK	NM_018238	Body	
cg15035324	PRKCE	NM_005400	Body	
cg15180789	SCHIP1	NM_014575	Body	
cg15256491	FOXK1	NM_001037165	Body	
cg15442737	TRAPPC9	NM_001160372;NM_031466	Body	
cg15497761	TRIM46	NM_025058	Body	chr1:155147185-155147444
cg15634980	PNPLA1	NM_173676;NM_001145717;NM_001145716	5'UTR	
cg15634980	PNPLA1	NM_173676;NM_001145717;NM_001145716	Body	
cg15888569	CPEB2	NM_182646;NM_182485	Body	
cg15958289	DCPS	NM_014026	Body	
cg15996459	RPH3AL	NM_006987	5'UTR	chr17:185075-185296
cg16092390	MYH9	NM_002473	Body	chr22:36718450-36718760
cg16101008	CASZ1	NM_001079843	3'UTR	chr1:10698299-10698910
cg16138158	C12orf65	NM_001143905;NM_152269	5'UTR	
cg16416987	THBS3	NM_007112;NM_198883;NM_002455	Body	chr1:155178547-155178980
cg16416987	MTX1	NM_007112;NM_198883;NM_002455	TSS1500	chr1:155178547-155178980
cg16430428	COLEC11	NM_024027;NM_199235	5'UTR	chr2:3642547-3642751
cg16583315	MAX	NM_145116;NM_145112;NM_145114;NM_197957;NM_002382;NM_145113	Body	
cg16604035	AHDC1	NM_001029882	3'UTR	
cg16628641	VASN	NM_138440;NM_024535	5'UTR	
cg16628641	CORO7	NM_138440;NM_024535	Body	
cg16653138	PRKCZ	NM_001033581;NM_002744;NM_001033581	1stExon	chr1:2005179-2005565
cg16653138	PRKCZ	NM_001033581;NM_002744;NM_001033581	Body	chr1:2005179-2005565
cg16653138	PRKCZ	NM_001033581;NM_002744;NM_001033581	5'UTR	chr1:2005179-2005565
cg16762684	MBP	NM_001025101;NM_001025100	5'UTR	chr18:74824149-74824414
cg16766632	LRP1	NM_002332	Body	
cg16922937	UNC84A	NM_025154;NM_001130965	Body	chr7:905608-905886
cg17136011	TACC2	NM_206862;NM_206861	Body	
cg17164954	ARID1B	NM_017519;NM_175863;NM_020732	Body	chr6:157342060-157343075
cg17172761	ERN1	NM_001433	3'UTR	
cg17468459	TGFBR3	NM_003243	Body	
cg17617843	C1QTNF3	NM_181435;NM_030945	TSS200	
cg17683336	KANK2	NM_001136191;NM_015493	5'UTR	chr19:11307495-11308276
cg17683336	KANK2	NM_001136191;NM_015493	TSS1500	chr19:11307495-11308276
cg17786959	PKHD1	NM_138694;NM_170724	Body	
cg17827208	IGF1R	NM_000875	Body	
cg17911539	CHST13	NM_152889	Body	chr3:126260488-126261356
cg17971747	DUOXA1	NM_144565;NM_207581	Body	chr15:45408573-45409528
cg17971747	DUOXA2	NM_144565;NM_207581	3'UTR	chr15:45408573-45409528
cg18127159	MAML3	NM_018717	Body	
cg18146737	GFI1	NM_001127215;NM_001127216;NM_005263	Body	chr1:92945907-92952609
cg18151030	PRDM15	NM_022115;NM_001040424	Body	chr21:43221474-43221842
cg18298494	TGFB3	NM_003239;NM_003239	1stExon	chr14:76448623-76449389
cg18298494	TGFB3	NM_003239;NM_003239	5'UTR	chr14:76448623-76449389
cg18356785	C1QTNF4	NM_031909	Body	chr11:47611138-47612438
cg18397073	POU2F2	NM_002698	Body	chr19:42599507-42600522
cg18455390	CYTH1	NM_017456;NM_004762	Body	
cg18476993	MIR671	NR_030407;NM_019015	Body	chr7:150934649-150934869
cg18476993	CHPF2	NR_030407;NM_019015	Body	chr7:150934649-150934869
cg18564167	LRRC1	NM_018214	Body	
cg18645642	RERE	NM_012102;NM_001042681	Body	
cg18647268	MACF1	NM_012090	Body	
cg18768238	WDFY4	NM_020945	TSS1500	
cg18856478	MPL	NM_005373	Body	chr1:43814305-43815277
cg18921306	POR	NM_000941	Body	
cg18994606	ADD3	NM_016824;NM_001121;NM_019903	5'UTR	
cg19021985	PPP3CC	NM_005605	Body	
cg19080053	LYRM4	NM_001164841;NM_020408	3'UTR	chr6:5135172-5135795
cg19080053	LYRM4	NM_001164841;NM_020408	Body	chr6:5135172-5135795
cg19120782	NUMA1	NM_006185	Body	
cg19147218	HOXA7	NM_006896	TSS1500	chr7:27198182-27198514
cg19169154	MFAP4	NM_002404	Body	
cg19414711	SND1	NM_014390	Body	
cg19503963	SMG6	NM_017575;NM_001170957	Body	
cg19635505	KLHL33	NM_001109997	5'UTR	chr14:20903395-20903720
cg19646897	HAVCR2	NM_032782	TSS1500	
cg19709355	RARA	NM_001145301;NM_000964;NM_001024809;NM_001145302	Body	chr17:38501396-38501839
cg19755003	LOC400931	NR_027033	Body	
cg19923393	SORCS2	NM_020777	Body	
cg20018563	SLCO3A1	NM_001145044;NM_013272	Body	
cg20021790	RPH3AL	NM_006987	5'UTR	chr17:185075-185296
cg20073553	NKX3-2	NM_001189	Body	chr4:13543562-13546494
cg20129806	UNC93B1	NM_030930	3'UTR	chr11:67758154-67759445
cg20229014	ST3GAL1	NM_003033;NM_173344	5'UTR	
cg20547777	EXT1	NM_000127	Body	
cg20678353	C15orf53	NM_207444	TSS1500	
cg20805367	C17orf49	NM_001142799;NM_001142798;NM_174893	Body	chr17:6917569-6918539
cg20820622	TLE3	NM_001105192;NM_020908;NM_005078	Body	
cg20928234	SLIT2	NM_004787	Body	chr4:20253276-20256868
cg20931951	VPS13D	NM_015378;NM_018156	Body	
cg20975682	PRPF40B	NM_012272	5'UTR	chr12:50016973-50017466
cg21057323	CDC42BPB	NM_006035	Body	
cg21268578	GGA1	NM_001001560;NM_013365	3'UTR	
cg21363377	SND1	NM_014390	Body	
cg21368566	AGAP1	NM_014914;NM_001037131	Body	
cg21637392	RNF216	NM_207111;NM_207116	Body	
cg21657704	TBCD	NM_005993	Body	
cg21708058	TACC1	NM_001146216	TSS200	
cg21779805	LPP	NM_001167672;NM_001167671;NM_005578	5'UTR	
cg21811284	SEC14L1	NM_001143999;NM_003003;NM_001143998;NM_001039573;NM_001144001	Body	chr17:75209459-75209672
cg21840908	POR	NM_000941	Body	
cg21879102	CIT	NM_007174	Body	chr12:120241921-120242233
cg22041712	CENPF	NM_016343	Body	
cg22478121	OSR1	NM_145260	5'UTR	chr2:19555789-19558403
cg22522688	SSH1	NM_001161331;NM_001161331;NM_001161330;NM_018984	1stExon	
cg22522688	SSH1	NM_001161331;NM_001161331;NM_001161330;NM_018984	5'UTR	
cg22522688	SSH1	NM_001161331;NM_001161331;NM_001161330;NM_018984	Body	
cg22719241	CLIP3	NM_015526	TSS1500	chr19:36523391-36523887
cg22724943	MAN1C1	NM_020379	Body	
cg22777249	CRELD2	NM_024324;NM_001135101	Body	chr22:50322570-50323451
cg22863744	NCOR2	NM_006312;NM_001077261	Body	chr12:124941314-124941584
cg22880770	NEURL3	NR_026875	Body	chr2:97166208-97166660
cg22900075	CUEDC1	NM_017949	Body	
cg22947094	FLJ37453	NR_024279	Body	chr1:16173889-16175396
cg23083424	SYNPO2L	NM_001114133	TSS200	
cg23247968	C10orf26	NM_017787;NM_001083913;NM_017787	5'UTR	
cg23247968	C10orf26	NM_017787;NM_001083913;NM_017787	Body	
cg23247968	C10orf26	NM_017787;NM_001083913;NM_017787	1stExon	
cg23339720	SPSB4	NM_080862	Body	chr3:140813913-140814134
cg23484159	C14orf43	NM_194278;NM_001043318	3'UTR	chr14:74185482-74185994
cg23671196	ATP8B4	NM_024837	5'UTR	
cg23716141	SEPT9	NM_001113492;NM_001113491;NM_006640	5'UTR	
cg23716141	SEPT9	NM_001113492;NM_001113491;NM_006640	Body	
cg23753351	APBB2	NM_004307;NM_001166054;NM_001166053;NM_001166050;NM_173075;NM_001166051;NM_001166052	Body	chr4:40858884-40859162
cg23753351	APBB2	NM_004307;NM_001166054;NM_001166053;NM_001166050;NM_173075;NM_001166051;NM_001166052	TSS1500	chr4:40858884-40859162
cg23848889	SHANK2	NM_012309;NM_133266	Body	
cg23850913	JARID2	NM_004973	Body	
cg24006721	RUNX3	NM_004350;NM_001031680	TSS1500	chr1:25255527-25259005
cg24006721	RUNX3	NM_004350;NM_001031680	Body	chr1:25255527-25259005
cg24020152	KIAA0922	NM_015196;NM_001131007	Body	
cg24035107	METT10D	NM_024086	Body	
cg24088496	MAML2	NM_032427	Body	
cg24117274	RAP1GAP	NM_001145658;NM_001145657;NM_002885	Body	chr1:21948674-21949263
cg24118773	ERGIC1	NM_001031711	Body	
cg24128590	C14orf43	NM_194278;NM_001043318	3'UTR	chr14:74185482-74185994
cg24130739	CX3CR1	NM_001171174;NM_001171172;NM_001171174;NM_001171171	1stExon	
cg24130739	CX3CR1	NM_001171174;NM_001171172;NM_001171174;NM_001171171	TSS1500	
cg24130739	CX3CR1	NM_001171174;NM_001171172;NM_001171174;NM_001171171	5'UTR	
cg24204951	PER2	NM_022817	Body	
cg24212471	GDPD5	NM_030792	Body	
cg24376793	PPP1R12B	NM_032105;NM_002481;NM_032104;NM_032103	3'UTR	
cg24376793	PPP1R12B	NM_032105;NM_002481;NM_032104;NM_032103	Body	
cg24425727	CDKN1A	NM_078467;NM_000389	TSS1500	chr6:36646244-36648465
cg24599107	PVRL4	NM_030916	Body	chr1:161049346-161049737
cg24691891	PHC2	NM_198040	Body	
cg24881420	TLX3	NM_021025	TSS1500	chr5:170735169-170739863
cg24886867	RIPK1	NM_003804	TSS1500	
cg24973226	STIM1	NM_003156	Body	
cg24981400	REV1	NM_016316;NM_001037872	Body	
cg24982682	ZMIZ1	NM_020338	5'UTR	
cg25049844	COL18A1	NM_030582;NM_130444;NM_130445	3'UTR	chr21:46932081-46932387
cg25336900	SEMA3F	NM_004186	Body	
cg25406989	FBN1	NM_000138	Body	chr15:48936810-48938577
cg25416125	DGKA	NM_201445;NM_201554;NM_001345;NM_201444	5'UTR	chr12:56329518-56329790
cg25713214	SFXN4	NM_213649	Body	chr10:120924785-120925558
cg25871890	CNOT4	NM_013316;NM_001008225	5'UTR	
cg25959472	FBXW11	NM_033645;NM_012300;NM_033644	Body	
cg26139949	DGKD	NM_152879;NM_003648	Body	
cg26139949	DGKD	NM_152879;NM_003648	TSS1500	
cg26375473	PCDHGA4	NM_018917;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_032094;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_003735;NM_018918;NM_003736;NM_018916;NM_018915;NM_018920;NM_018923;NM_018925	Body	chr5:140810494-140812617
cg26375473	PCDHGA11	NM_018917;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_032094;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_003735;NM_018918;NM_003736;NM_018916;NM_018915;NM_018920;NM_018923;NM_018925	Body	chr5:140810494-140812617
cg26375473	PCDHGA9	NM_018917;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_032094;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_003735;NM_018918;NM_003736;NM_018916;NM_018915;NM_018920;NM_018923;NM_018925	Body	chr5:140810494-140812617
cg26375473	PCDHGA1	NM_018917;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_032094;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_003735;NM_018918;NM_003736;NM_018916;NM_018915;NM_018920;NM_018923;NM_018925	Body	chr5:140810494-140812617
cg26375473	PCDHGB1	NM_018917;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_032094;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_003735;NM_018918;NM_003736;NM_018916;NM_018915;NM_018920;NM_018923;NM_018925	Body	chr5:140810494-140812617
cg26375473	PCDHGB6	NM_018917;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_032094;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_003735;NM_018918;NM_003736;NM_018916;NM_018915;NM_018920;NM_018923;NM_018925	Body	chr5:140810494-140812617
